hash,file,bundle,offset,size
70f59a6ca753b51a,surges_alt.mat,Tiny_1,24367487,3548
704c0179bd4f9f07,surges_alt_dxt5.dds,Folders/art/models/misc/portals/wranglerportal/fx,1065678,43940
fbcc899d024f88b5,surges_alt_dxt5.dds.header,Tiny_7,43534583,344
634cc0337dfe9389,spark.mat,Tiny_1,24359881,1924
ec502abb5e8a105a,spark_02.mat,Tiny_1,24361805,1926
3abc27bec1d67fc9,spark_dxt3.dds,Tiny_1,24363731,2916
868f5a8054c101c3,spark_dxt3.dds.header,Tiny_1,24366647,840
712f799143af2a1c,scream_wisp_01.mat,Tiny_1,75280558,2958
c50ac68dd53a1a01,scream_wisp_j.mat,Tiny_1,24354531,5350
13f3e1bee045fa4f,light_gradient_02.mat,Tiny_1,24350921,1832
b471fe6845f6140b,light_gradient_dark.mat,Tiny_1,24352753,1778
89b0de4bf5726bd9,light_gradient_dxt1.dds,Folders/art/microtransactions/weapon_effects/fateweaver,0,43852
e00a7b8e96d236cb,light_gradient_dxt1.dds.header,Tiny_7,43494605,1520
3af341c35aae422f,light_gradient_bc1.dds,Folders/art/microtransactions/weapon_effects/fateweaver,0,43852
d53fca9b297f3008,light_gradient_bc1.dds.header,Tiny_7,43494605,1520
bff31b9221d2517e,light_gradient.mat,Tiny_1,24348813,2108
0581bbd55ef9d06d,light_gradient.dds,Folders/art/microtransactions/spell/heralds_6,1631229,87556
0fe53eee18386961,light_gradient.dds.header,Tiny_7,38694500,1520
ab2890ba7a607087,leave.mat,Tiny_1,24337377,6746
6794df61cf245c2b,leave_01.mat,Tiny_1,24344123,4186
06772dca166abb02,leave_glow_dxt1.dds,Art/Microtransactions/footprints/DarkWood_v2_1,0,43868
c9e6970e8276b891,leave_glow_dxt1.dds.header,Tiny_1,24348309,504
ad21cfcf85f2b84e,leave_dxt5.dds,Art/Microtransactions/weapon_effects/Darkwood_1,0,87588
054c6f381fb835e3,leave_dxt5.dds.header,Tiny_1,75280054,504
