hash,file,bundle,offset,size
16e7ebd565bf9bc7,add_slash.mat,Tiny_2,24476967,4752
662bafb5fdc9ae2e,dark_slash.mat,Tiny_2,24489867,6490
e2fec8e26f075dde,flare_flash_5x5.mat,Tiny_2,24496357,2376
acb097308650c41d,new_bladec.mat,Tiny_2,24501773,2512
c46b8fdeed298c40,new_blade_normal_dxt5.dds,Art/Models/Items/Armours/ArmourSets/PhantomArmour_11,0,1398276
ab8da60786c2c182,new_blade_normal_dxt5.dds.header,Tiny_2,24500253,1520
d7ec6a3a693df042,new_blade_colour_dxt5.dds,Art/Models/Items/Armours/ArmourSets/PhantomArmour_10,0,1398276
d09794d6b7e8b77c,new_blade_colour_dxt5.dds.header,Tiny_2,24498733,1520
d8a14ac96f5004a1,blade_r_colorc.mat,Tiny_2,24487313,2554
92e05a9061524c54,blade_normal_dxt5.dds,Art/Models/Items/Armours/ArmourSets/PhantomArmour_12,0,1398276
1c0abc13f0486c3c,blade_normal_dxt5.dds.header,Tiny_2,24485793,1520
8cffdcf560ead043,blade_colorc.mat,Tiny_2,24483239,2554
69a573ba353cf636,blade_color_dxt5.dds,Art/Models/Items/Armours/ArmourSets/PhantomArmour_9,0,1398276
59775f350046b30f,blade_color_dxt5.dds.header,Tiny_2,24481719,1520
