hash,file,bundle,offset,size
01011cc40a53816f,soulmantlestr.sm,Tiny_2,33799733,600
6d618578caab3c79,soulmantlestr_05d49390.smd,Art/Models/Items/Armours/BodyArmours/Unique_20,1972150,79454
f8c1f736273123c3,soulmantlestr_05d49390.smd.header,Tiny_2,33800333,368
b2ead5f420815c7e,soulmantlestrint.sm,Tiny_2,33802707,636
6f6a31affb5c0f91,soulmantlestrint_e4a9a959.smd,Folders/art/models/items/armours/bodyarmours/bodystrint2a,112085,79020
f0b4e8741c97db72,soulmantlestrint_e4a9a959.smd.header,Tiny_2,33803343,368
3f6da58989bd37a4,soulmantlestrdex.sm,Tiny_2,33800701,640
be920fe3d5e6088a,soulmantlestrdex_7f60c815.smd,Folders/art/models/items/armours/bodyarmours/bodystrint2a,29909,82176
1f409732622769b1,soulmantlestrdex_7f60c815.smd.header,Tiny_2,33801341,368
fb3342260c3625f3,soulmantlestrdexint.sm,Tiny_2,33801709,630
e0fd5018ccda9d68,soulmantlestrdexint_8d257701.smd,Art/Models/Items/Armours/BodyArmours/Unique_20,1894090,78060
a79809f65c22f549,soulmantlestrdexint_8d257701.smd.header,Tiny_2,33802339,368
88b8e4456cba5a19,soulmantleint.sm,Tiny_2,33798737,628
93ae9a88d6437aed,soulmantleint_c780f14a.smd,Folders/art/models/items/armours/bodyarmours/unique.B,2165927,77202
6d103a819fe39034,soulmantleint_c780f14a.smd.header,Tiny_2,33799365,368
49b01d1ecd334fa6,soulmantledrop_0e7e704d.smd,Folders/art/models/items/armours/bodyarmours/unique.B,2091946,73981
cd64299607add3f1,soulmantledrop_0e7e704d.smd.header,Tiny_2,33798369,368
f62c540011a49cb3,soulmantledrop.sm,Tiny_2,33797855,514
d0c943d901110899,soulmantledrop.amd,Tiny_2,33797655,200
0f78d68577c41207,soulmantledrop.ast,Art/Models/Items/Armours/BodyArmours/Unique_20,1871245,22845
81a6232bd237894a,soulmantledex.sm,Tiny_2,33795707,596
e3ef011396ef6674,soulmantledex_f4859fdb.smd,Art/Models/Items/Armours/BodyArmours/Unique_20,2051604,77936
811a4d5a88df0a82,soulmantledex_f4859fdb.smd.header,Tiny_2,33796303,368
3a2ee7512645a7a3,soulmantledexint.sm,Tiny_2,33796671,616
b3001b0706086aba,soulmantledexint_46ac8e8f.smd,Folders/art/models/items/armours/bodyarmours/unique.B,2011988,79958
257ef35b93e590a4,soulmantledexint_46ac8e8f.smd.header,Tiny_2,33797287,368
