hash,file,bundle,offset,size
42f40a930508948c,spritiuniqueglovesstr_7c7f2578.smd,Folders/art/models/items/armours/gloves/unique_4,1001070,55532
3b5e18fea279a294,spritiuniqueglovesstr_7c7f2578.smd.header,Tiny_2,40605629,368
375311a481a40740,spritiuniqueglovesstrint_be096391.smd,Folders/art/models/items/armours/gloves/unique_4,1167670,55608
f83bb2901cab950a,spritiuniqueglovesstrint_be096391.smd.header,Tiny_2,40606733,368
8d26773a3d7471cf,spritiuniqueglovesstrdex_e091ae2c.smd,Folders/art/models/items/armours/gloves/unique_4,1056602,55640
22c86c63d0124388,spritiuniqueglovesstrdex_e091ae2c.smd.header,Tiny_2,40605997,368
de61e7291291bf01,spritiuniqueglovesstrdexint_807cc41a.smd,Folders/art/models/items/armours/gloves/unique_4,1112242,55428
c1b2ad0547047b82,spritiuniqueglovesstrdexint_807cc41a.smd.header,Tiny_2,40606365,368
5bb6574432ba0773,spritiuniqueglovesint_35eb5dcf.smd,Folders/art/models/items/armours/gloves/unique_4,945442,55628
95fb7078305090f5,spritiuniqueglovesint_35eb5dcf.smd.header,Tiny_2,40605261,368
8cddfb711706fa21,spritiuniqueglovesdrop_89584f4d.smd,Folders/art/models/items/armours/gloves/unique_4,854497,90945
06f2f6ad3af947cd,spritiuniqueglovesdrop_89584f4d.smd.header,Tiny_2,40604893,368
655c99e7fefc73bf,spritiuniqueglovesdex_201c7ee2.smd,Folders/art/models/items/armours/gloves/unique_4,743453,55564
2a571557c4dd35c3,spritiuniqueglovesdex_201c7ee2.smd.header,Tiny_2,40604157,368
dbe557a94b84bb00,spritiuniqueglovesdexint_06ea32bf.smd,Folders/art/models/items/armours/gloves/unique_4,799017,55480
54d9954da2cacda9,spritiuniqueglovesdexint_06ea32bf.smd.header,Tiny_2,40604525,368
a4f688cdc11a6d9e,spirituniqueglovesint.sm,Tiny_2,40600577,596
1548f743424fbd8d,spirituniqueglovesstr.sm,Tiny_2,40601173,790
3593efcc60564872,spirituniqueglovesstrint.sm,Tiny_2,40603363,794
765c9e06739f311c,spirituniqueglovesstrdex.sm,Tiny_2,40601963,796
d16d2f5b2d690675,spirituniqueglovesstrdexint.sm,Tiny_2,40602759,604
89caff2c20d21523,spirituniqueglovesdrop.sm,Tiny_2,40599967,610
43f44d7a18541002,spirituniqueglovesdrop.amd,Tiny_2,40596219,202
2134f94f18bd97f5,spirituniqueglovesdrop.ast,Tiny_2,40596421,3546
a256c2eaceeef8d1,spirituniqueglovesdex.sm,Tiny_2,40594831,786
37a9ea22ddb8d86e,spirituniqueglovesdexint.sm,Tiny_2,40595617,602
8825c1e2c49b1891,spirituniquegloves.fmt,Folders/art/models/items/armours/gloves/unique_4,699400,44053
54a551b4b162abae,spirituniquegloves.fmt.header,Tiny_2,40594623,208
