hash,file,bundle,offset,size
24150fd5d113b9ab,rig_f9423d8c.smd,Art/Models/Items/Quivers/MaloneysNightfall,0,31016
176f491ab623e5f7,rig_f9423d8c.smd.header,Tiny_2,56883049,368
f71172ddca371deb,rig.amd,Tiny_2,56888300,464
9512e6ba8b3c24ab,rig.ast,Tiny_2,56882547,502
a586b22af6d5332f,maloneysnightfall.sm,Tiny_2,56881583,466
d6af3cc25cd3b81d,maloneysnightfalldrop_06e2194f.smd,Art/Models/Items/Quivers/MaloneysNightfall_1,0,31265
c96a74dd60dc40cb,maloneysnightfalldrop_06e2194f.smd.header,Tiny_2,56883417,368
b31fc392143a5285,maloneysnightfalldrop.sm,Tiny_2,56882049,498
63c76adda1c57e2f,maloneysnightfalldrop.amd,Tiny_2,56876827,202
98cecf4b294160d0,maloneysnightfalldrop.ast,Tiny_2,56877029,3923
