hash,file,bundle,offset,size
1648bce5efeddfdf,twohandmace2.sm,Tiny_2,67239844,1376
ba3f9d394541d7de,twohandmace2drop_024c1fc8.smd,Tiny_2,67243280,1635
2ff5068eb3717038,twohandmace2drop_024c1fc8.smd.header,Tiny_2,67331006,368
731e64d165dca008,twohandmace2drop.sm,Tiny_2,67242736,544
36d4c1119753fcb7,twohandmace2drop.amd,Tiny_2,67241220,226
f6865465719cc613,twohandmace2drop.ast,Tiny_2,67241446,1290
2a7d8702f875bf39,rig_e6d14534.smd,Tiny_2,67237673,1803
a8b14f2db558a800,rig_e6d14534.smd.header,Tiny_2,67239476,368
501ad31eb6540791,rig.amd,Tiny_2,67235710,974
19e426e33d7813be,rig.ast,Tiny_2,67236684,989
