hash,file,bundle,offset,size
a7e140d9debce370,portal_kiloava_equipc.mat,Tiny_3,20732660,10382
455a3690d487e07c,portal_kiloava_equip_normalc.mat,Tiny_3,20731408,1252
757dc93cee9570d0,portal_kiloava_equip_normal.dds,Folders/art/models/portals/kiloavatotemportal/textures,7165780,1398276
c43124dd6237190b,portal_kiloava_equip_normal.dds.header,Tiny_3,20729888,1520
0318925539e74f58,portal_kiloava_equip_metal.dds,Folders/art/models/portals/kiloavatotemportal/textures,6990856,174924
2d67a52927f22b6c,portal_kiloava_equip_metal.dds.header,Tiny_3,20728368,1520
2e3348562d7ad71d,portal_kiloava_equip_glow.dds,Folders/art/models/portals/kiloavatotemportal/textures,1398276,5592580
19c8b481b4c485ec,portal_kiloava_equip_glow.dds.header,Tiny_3,20726848,1520
1a7dc6e7d921171e,portal_kiloava_equip_colour.dds,Folders/art/models/portals/kiloavatotemportal/textures,0,1398276
29b0aa6bfe7a9958,portal_kiloava_equip_colour.dds.header,Tiny_3,20725328,1520
5150dae595010514,portal_kiloavatotemarmorrackc.mat,Tiny_3,20747602,2806
d179a7e8f0b759ed,portal_kiloavatotemarmorrack_normal.dds,Folders/art/models/portals/kiloavatotemportal/textures_2,2796364,5592580
af2d100fd83cf49b,portal_kiloavatotemarmorrack_normal.dds.header,Tiny_3,20746082,1520
96515400e9ee80cb,portal_kiloavatotemarmorrack_metal.dds,Folders/art/models/portals/kiloavatotemportal/textures_2,0,2796364
fd1e68d4e62db7ba,portal_kiloavatotemarmorrack_metal.dds.header,Tiny_3,20744562,1520
7535cd4bdfbb26e0,portal_kiloavatotemarmorrack_colour.dds,Folders/art/models/portals/kiloavatotemportal/textures_1,0,2796364
99edc183244fe688,portal_kiloavatotemarmorrack_colour.dds.header,Tiny_3,20743042,1520
