hash,file,bundle,offset,size
f2bc9aa1fd97c7b5,bananaleaves01c.mat,Tiny_5,47223630,2536
40e880a1ba187f26,cabbagetreeleaves01c.mat,Tiny_5,47226166,3298
8d33d26e8335b2cf,sloppymud01c.mat,Tiny_5,49598722,3540
8682da3200b1b070,karui_bamboo01c.mat,Tiny_5,47229464,2416
fbc9ac5ceeec02be,karui_rope01c.mat,Tiny_5,47295054,2426
f26937c19354dabf,karui_urns01c.mat,Tiny_5,47338288,2040
d7506bce7ceb8204,karui_waka01c.mat,Tiny_5,47340328,2862
e877dfb8aa8a1edc,karui_tileablewood01c.mat,Tiny_5,47335950,2338
33ef8e7845bf0029,karui_thickwall302c.mat,Tiny_5,47329424,2088
3ee735bb4e9421eb,karui_thickwalldetails01c.mat,Tiny_5,47331512,4438
5de9be96fdc7ce47,karui_thickwall201abcc.mat,Tiny_5,47320914,2210
8c43bae43f2727a0,karui_thickwall204c.mat,Tiny_5,47323124,2088
f3115ec514c61fce,karui_thickwall205c.mat,Tiny_5,47325212,2088
a292fe19fcd43a6e,karui_thickwall206301c.mat,Tiny_5,47327300,2124
b34df9c8394dca5f,karui_thickwall101c.mat,Tiny_5,47311150,2794
7345d6dd1000a8c2,karui_thickwall102c.mat,Tiny_5,47313944,2088
635c0a308d9fd3b6,karui_thickwall103c.mat,Tiny_5,47316032,2794
d308666cdfdb0e83,karui_thickwall104c.mat,Tiny_5,47318826,2088
dfbde919872faee8,karui_spades01c.mat,Tiny_5,47297480,1200
3b02941fc86de241,karui_stick01c.mat,Tiny_5,47308934,2216
5216b67f19d41b98,karui_statues01c.mat,Tiny_5,47305886,3048
5ed39810bfaffcdd,karui_statues01_glow.mat,Tiny_5,47303798,2088
364cdee50d65ef75,karui_statue02c.mat,Tiny_5,47300762,3036
5e4c151d1f3ea54a,karui_statue02_glow.mat,Tiny_5,47298680,2082
f98e49f0469f6837,karui_props01c.mat,Tiny_5,47285326,2386
e50aa74445aff046,karui_props02c.mat,Tiny_5,47287712,2300
b99c0509e0429707,karui_props03c.mat,Tiny_5,47290012,3012
2df35d3ad1f4cbcf,karui_props04c.mat,Tiny_5,47293024,2030
375fb217c934d6b6,karui_platforms01c.mat,Tiny_5,47280380,2868
165ef794958be012,karui_platforms02c.mat,Tiny_5,47283248,2078
cb744ceef44661f8,karui_paintedtrims01c.mat,Tiny_5,47275928,2226
c42b381a12aa14a2,karui_paintedtrims02c.mat,Tiny_5,47278154,2226
9931adc7893f0100,karui_mats0102c.mat,Tiny_5,47267138,2930
d5ee369efe710b6d,karui_mats0304c.mat,Tiny_5,47270068,2930
71f2f0d578e763df,karui_mats0506c.mat,Tiny_5,47272998,2930
be6bb17c8320948a,karui_fishingtrap01c.mat,Tiny_5,47261342,2898
7b0ea56d57c2fde1,karui_fishingtrap02c.mat,Tiny_5,47264240,2898
e072c1deaff48265,karui_faces01c.mat,Tiny_5,47258318,3024
d07794e7284e7c0c,karui_faces01_glow.mat,Tiny_5,47256242,2076
e6492583c9e48f82,karui_face02c.mat,Tiny_5,47253230,3012
b6f6a0180642063c,karui_face02_glow.mat,Tiny_5,47251160,2070
fff4a6313b3ac17d,karui_details01c.mat,Tiny_5,47242266,4636
16013e05a38b5c0b,karui_details02c.mat,Tiny_5,47246902,4258
c200acc7cefaaf3a,karui_decor01c.mat,Tiny_5,47236216,3026
d6013e9366073839,karui_decor02c.mat,Tiny_5,47239242,3024
f294d60b8f40cc70,karui_carvedpungalogs01c.mat,Tiny_5,47231880,2210
407f04862cb55aa9,karui_carvedpungalogs02c.mat,Tiny_5,47234090,2126
