hash,file,bundle,offset,size
f00ed74a5b8ef25d,snow_emergec.mat,Tiny_6,50628155,2592
2ccbde13b559560a,snow_emerge.dds,Art/particles/monster_particles/act4_9,1489432,87556
f9b68b8a10b59734,snow_emerge.dds.header,Tiny_6,50626635,1520
8ce7a59467f3b76f,light_immortal_callc.mat,Tiny_6,50623967,2668
5fb7e9a64a34c49b,light_immortal_call.dds,Art/particles/monster_particles/act4_9,1314320,87556
8de0701096c4add8,light_immortal_call.dds.header,Tiny_6,82447525,1520
f62ab95fee89c2b9,cracksc.mat,Tiny_6,50622601,1366
8bc79074c5118d59,cracks.dds,Art/particles/monster_particles/act4_9,1401876,87556
bdacc629f0c61bbd,cracks.dds.header,Tiny_6,50621081,1520
06c9fb2dbedc4af0,cold_snap_beam_2c.mat,Tiny_6,50618729,2352
e906c73d40c3f26d,cold_snap_beam_2.dds,Art/particles/monster_particles/act4_9,1576988,87556
0018da91f61e05a6,cold_snap_beam_2.dds.header,Tiny_6,50617209,1520
37d361e5aafac943,cold_light_gradient.mat,Tiny_6,50615727,1482
5334f4c4c0f59612,cold_light_gradient.dds,Art/particles/enchantment_skills/icy_raging_spirit,186384,22020
029dd75ce3ccd1f0,cold_light_gradient.dds.header,Tiny_6,50614207,1520
bcea3961d6909acd,blink_spiral_bigger.mat,Tiny_6,50611735,2472
7b510c99b6ec0984,blink_spiral_bigger.dds,Folders/art/particles/wind_whip_cast,0,87556
145edba31ddf534a,blink_spiral_bigger.dds.header,Tiny_7,45062540,1520
