hash,file,bundle,offset,size
e460a6f40f31aee9,quiver1cns.mat,Tiny_6,65880136,2566
a81fadbcd28435fb,quiver1_colour.dds,Art/particles/tornado_shot/arrow_2,22020,11084
177993c24c2dcd05,quiver1_colour.dds.header,Tiny_8,14476391,1520
9e14f175f077bc8d,quiver1ns.dds,Art/particles/tornado_shot/arrow_2,0,22020
9d14146a2bd50b6b,quiver1ns.dds.header,Tiny_8,14485189,1520
aa3e66ec4b0fd24a,goldc.mat,Tiny_6,65878280,1856
00e0eff68f861099,gold.dds,Tiny_6,65875220,1540
3179765d272ee5a9,gold.dds.header,Tiny_6,65876760,1520
a69ff147a5b95f00,behind_texturesc.mat,Tiny_6,65840314,2686
177df92bb16f4cda,behind_textures.dds,Art/particles/monster_particles/AtlasofWorlds_14,3387272,87556
db3cc4f058fc1664,behind_textures.dds.header,Tiny_6,65838794,1520
