hash,file,bundle,offset,size
8a3c2bdb3ff63b45,tornado_sandcns.mat,Art/particles/monster_particles/AtlasofWorlds_24,1049100,9808
090ed325f011fc0f,tornado_sand_colour.dds,Art/particles/monster_particles/AtlasofWorlds_23,699400,349700
290f6a2d33802e66,tornado_sand_colour.dds.header,Tiny_6,66745456,1520
8799420eceb2b559,tornado_sand_add.mat,Tiny_6,66744146,1310
5d1a2c86c8f00688,tornado_sand_add.dds,Art/Microtransactions/spell/heralds_28,0,349700
bf632ab1801bb5a0,tornado_sand_add.dds.header,Tiny_6,66742626,1520
01cc7ae030cbf6e7,tornado_sandns.dds,Art/particles/monster_particles/AtlasofWorlds_23,349700,349700
0444135cd8255dfa,tornado_sandns.dds.header,Tiny_6,66746976,1520
3be8199aff1072ef,tornado_mask.mat,Tiny_6,66741340,1286
08df1562fea71e1f,tornado_mask.dds,Art/particles/lightning_strike/vaal_3,0,349700
08b0bfeb536f9d5c,tornado_mask.dds.header,Tiny_6,66739820,1520
486b913adca3e830,supercaustics_seamlessc.mat,Tiny_6,66737714,2106
45f45f47425dac85,supercaustics_seamless.dds,Art/particles/monster_particles/AtlasofWorlds_22,3747168,87556
9d112c8f6d5b01f0,supercaustics_seamless.dds.header,Tiny_7,44750354,1520
7599196fbc5ea680,light_gradient.mat,Tiny_6,66736416,1298
14001113e2a5f101,light_gradient.dds,Art/Microtransactions/Hideout/EnvironmentFX,557358,5636
91646988578597ff,light_gradient.dds.header,Tiny_7,38918214,1520
814216d5d4855319,impact_light_1c.mat,Tiny_6,66730898,3998
79f839eb36e0aca9,impact_light_1.dds,Art/particles/monster_particles/AtlasofWorlds_24,699400,349700
754a51e2d8d31f82,impact_light_1.dds.header,Tiny_6,66729378,1520
b44ffeffc571b658,impact_black_blur_1cimpactnimpact1heights.mat,Tiny_6,66726296,3082
c43127169884754c,impact_black_blur_1.dds,Art/particles/monster_particles/AtlasofWorlds_23,1049100,349700
bcb88d8b1154f8cf,impact_black_blur_1.dds.header,Tiny_6,66724776,1520
030bdbd6eeec21a9,impact_black_1c.mat,Tiny_6,66723016,1760
3771ec76e71e0fc5,impact_black_1.dds,Art/particles/monster_particles/AtlasofWorlds_24,349700,349700
7d8dd9c27ed19600,impact_black_1.dds.header,Tiny_6,66721496,1520
58138ef78868efc7,impactnimpact1heights.dds,Art/particles/monster_particles/AtlasofWorlds_24,0,349700
daab9b921013fb97,impactnimpact1heights.dds.header,Tiny_6,66734896,1520
00f23a0b245994d2,impact1height.mat,Tiny_6,66720204,1292
4f2b53567ac8a746,impact1height.dds,Art/particles/monster_particles/AtlasofWorlds_23,0,349700
ef48e9538c257939,impact1height.dds.header,Tiny_6,66718684,1520
