hash,file,bundle,offset,size
36b2aea257a03e35,swirl_at.mat,Tiny_7,10445578,2346
00a43db41f2cd072,swirl_at.dds,Art/particles/monster_particles/League_Synthesis_15,0,349700
3e64c629340e4a03,swirl_at.dds.header,Tiny_7,10444058,1520
771bd98408fe0c6c,snowflakes.mat,Tiny_7,10441692,2366
9fdab83e4ba70b97,snowflakes.dds,Art/particles/monster_particles/League_Synthesis_14,1662180,699300
8ca9f4c5242145f3,snowflakes.dds.header,Tiny_8,42384878,344
91e2b64056ce8626,lensflare.mat,Tiny_7,10440334,1358
1a8729ae7556badd,lensflare.dds,Art/particles/monster_particles/League_Synthesis_14,2361480,87556
47b2ef0f76d772cb,lensflare.dds.header,Tiny_7,10438814,1520
2721783f12bb2a54,ice_shockwave.mat,Tiny_7,10437432,1382
765e1d551598beb9,ice_shockwave.dds,Art/particles/monster_particles/League_Synthesis_14,1574624,87556
979c43ed166b920a,ice_shockwave.dds.header,Tiny_7,10459420,1520
be9f68325538256e,grad_ice.mat,Tiny_7,10436088,1344
e787756f3b10d045,grad_ice.dds,Art/particles/monster_particles/League_Synthesis_15,349700,5636
9c702d68edce65e6,grad_ice.dds.header,Tiny_7,10434568,1520
