hash,file,bundle,offset,size
bf910abb635d5ce8,splash1_atc.mat,Tiny_7,23557969,1300
be9c4ca50995b1b4,splash1_at.dds,Art/particles/monster_particles/ParasiticSquid,464912,11108
782fe82288d6d2ce,splash1_at.dds.header,Tiny_7,23557129,840
e632e233156ece52,saccns.mat,Tiny_7,23551893,3716
51db151e268840e4,sac_colour.dds,Art/particles/monster_particles/ParasiticSquid,371720,87556
6c4df3a589a2e342,sac_colour.dds.header,Tiny_7,23550373,1520
50e9d78a9a057ffb,sacns.dds,Art/particles/monster_particles/ParasiticSquid,825880,87556
6dad73ec6144d6d2,sacns.dds.header,Tiny_7,23555609,1520
7a275acec2c309a5,parasitesquidinkcsacns.mat,Tiny_7,23548049,2324
2189f606924a8630,parasitesquidink_colour.dds,Art/particles/monster_particles/ParasiticSquid,22020,349700
c8d52d94225ede6b,parasitesquidink_colour.dds.header,Tiny_7,23546529,1520
9ab487bf20874a0d,oil_burst_spots.mat,Tiny_7,23544933,1596
baa1917849bac1dc,oil_burst_spots.dds,Art/particles/monster_particles/ParasiticSquid,459276,5636
5baa711295b4b629,oil_burst_spots.dds.header,Tiny_7,23543413,1520
46505d12bb0765a8,light_gradient_black.mat,Tiny_7,23542039,1374
74299a7af8975022,light_gradient_black.dds,Art/particles/monster_particles/AtlasofWorlds_50,536380,22020
c7c9b1e88d23d93e,light_gradient_black.dds.header,Tiny_7,87795476,1520
3e759ecf19bd0770,ink_splash_linec.mat,Tiny_7,23540709,1330
9c949817fac15d18,ink_splash_line.dds,Folders/art/textures/environment/waterfall/forkingriver,87556,22020
553fac99ab79e7cc,ink_splash_line.dds.header,Tiny_7,75018312,1520
7993476e4875c386,corpseexplosion_colour.mat,Tiny_7,23539465,1244
97847eb7bb1c8ca7,corpseexplosion_colour.dds,Art/particles/monster_particles/ParasiticSquid,1569844,22020
bf002222b3f38a58,corpseexplosion_colour.dds.header,Tiny_7,23537945,1520
7958220e6563ebcd,blood_splat2.mat,Tiny_7,23535885,2060
110bebf466d697b5,blood_splat2.dds,Art/particles/monster_particles/ParasiticSquid,1547824,22020
b3f1576b6042d841,blood_splat2.dds.header,Tiny_7,23534365,1520
e03991c8067088b6,blood_burst.mat,Tiny_7,23533195,1170
b4c60f6be7a4214a,blood_burst.dds,Art/particles/monster_particles/ParasiticSquid,476020,349860
ea5c103f094060af,blood_burst.dds.header,Tiny_7,23532915,280
b5b03c9934d8cf57,black_ring.mat,Tiny_7,23531887,1028
5871c5e293325c58,black_ring.dds,Art/particles/monster_particles/ParasiticSquid,0,22020
0b35d1988ac8dcf2,black_ring.dds.header,Tiny_7,38638142,1520
