hash,file,bundle,offset,size
34963acde41837cd,spiral_leap_blue.mat,Tiny_7,32665436,950
b1d32edba18348c3,spiral_leap_blue.dds,Art/particles/raise_specter,493092,87556
cc1cbc602a2400b0,spiral_leap_blue.dds.header,Tiny_7,32663916,1520
051b49f5a8ab6121,spark_up.mat,Tiny_7,32658002,902
66a994ccd84cf30b,spark_up.dds,Art/particles/raise_specter,471072,22020
bcb16e09ff29ee04,spark_up.dds.header,Tiny_7,32656482,1520
165d057b8ec04dfd,sparky_bits.mat,Tiny_7,32662996,920
c6108257b8f9ab7f,sparky_bits.dds,Folders/art/particles/monster_particles/talisman,437616,5636
02a59135331e0bac,sparky_bits.dds.header,Tiny_7,32661476,1520
607795980804f80b,sparksmall.mat,Tiny_7,32660424,1052
fc3e13073be0c39a,sparksmall.dds,Art/particles/raise_specter,465436,5636
20b05d36ed610ba3,sparksmall.dds.header,Tiny_7,32658904,1520
cf71a2a506e8e51d,runes_outermain3.mat,Tiny_7,32655532,950
148448acd009a92c,runes_outermain3.dds,Art/particles/raise_specter,377880,87556
ef780391c1c51aca,runes_outermain3.dds.header,Tiny_7,32654012,1520
d82cc61ba3993157,runes_outermain2.mat,Tiny_7,32653062,950
672f0c3cb138f0ee,runes_outermain2.dds,Art/particles/raise_specter,290324,87556
4b767b4ff5eb2232,runes_outermain2.dds.header,Tiny_7,32651542,1520
2f2c39f127634b7f,runes_outermain.mat,Tiny_7,32650460,1082
595296dd59574a31,runes_outermain.dds,Art/particles/raise_specter,202768,87556
701b02a03d3ea696,runes_outermain.dds.header,Tiny_7,32648940,1520
15545907f83cdd1b,ring_alphablend_1.mat,Tiny_7,32647984,956
ccef144f467c2739,ring_alphablend_1.dds,Art/particles/raise_specter,115212,87556
76bf7ba59898bfd7,ring_alphablend_1.dds.header,Tiny_7,32646464,1520
a8e49567d99d391f,ring_ada_1.mat,Tiny_7,32645550,914
c3a201dd4dae2e5c,ring_ada_1.dds,Art/particles/raise_specter,27656,87556
275e10f819260f14,ring_ada_1.dds.header,Tiny_7,32644030,1520
27b9eaacffe9c049,poison_smokepurple.mat,Tiny_7,32609674,962
4439a70ed42cbc56,poison_smokepurple.dds,Art/particles/raise_specter_1,87556,87556
af38b1a4c534fbd7,poison_smokepurple.dds.header,Tiny_7,32608154,1520
29315639c2fa41f5,cyl_smoke2.mat,Tiny_7,32607102,1052
e8ff1c0b9d8e74a5,cyl_smoke2.dds,Art/particles/freezing_tide,87556,87556
5ed4161c97b34137,cyl_smoke2.dds.header,Tiny_7,32605582,1520
6f5a568f72ab4f9a,cyl_smoke.mat,Tiny_7,32604674,908
1041bda537c0aeb7,cyl_smoke.dds,Art/particles/raise_specter_1,0,87556
c9dd19f3b5d6a5aa,cyl_smoke.dds.header,Tiny_7,32603154,1520
8d862ab140fbe085,cyl_dust.mat,Tiny_7,32602252,902
9e8622b8efdeee93,cyl_dust.dds,Art/particles/conditions,0,22020
84f363908ef5827a,cyl_dust.dds.header,Tiny_7,40547912,1520
fe6270bcfa93b891,chaos_cirlce.mat,Tiny_7,32601188,1064
82be9d015637f051,chaos_cirlce.dds,Art/particles/raise_specter,5636,22020
33441b0864668b8a,chaos_cirlce.dds.header,Tiny_7,32599668,1520
65d8e5759f5a5e4f,blue_overide.mat,Tiny_7,32598616,1052
d40aab267ae7647b,blue_overide.dds,Art/particles/raise_specter,0,5636
a781bf9ebf825363,blue_overide.dds.header,Tiny_7,32597096,1520
