hash,file,bundle,offset,size
2b021601cddba101,chiyoubowspecularc.mat,Tiny_8,18366657,6678
47f871ade9ffa111,chiyoubow_normal_dxt5.dds,Art/Textures/Items/weapon/bows/Microtransactions_5,0,699236
03560c463d3c15b2,chiyoubow_normal_dxt5.dds.header,Tiny_8,18365817,840
c57b86374ddf3a95,chiyoubow_glow_dxt5.dds,Art/Textures/Items/weapon/bows/Microtransactions_5,699236,699236
2afffb2cf60b5e4c,chiyoubow_glow_dxt5.dds.header,Tiny_8,18364977,840
219a06b0b87d4c9c,chiyoubow_colourspecular_dxt5.dds,Art/Textures/Items/weapon/bows/Microtransactions_6,0,1398276
28446453a4667963,chiyoubow_colourspecular_dxt5.dds.header,Tiny_8,18363457,1520
6b65b80076078183,chiyoubow_colourspecular_bc7.dds,Art/Textures/Items/weapon/bows/Microtransactions_6,0,1398276
e9c297b94fa1ecc2,chiyoubow_colourspecular_bc7.dds.header,Tiny_8,18363457,1520
9c711019c8fed662,chiyoubow_colourspecular.dds,Folders/art/textures/items/weapon/bows/microtransactions_1,0,699212
2604d437b5271e9b,chiyoubow_colourspecular.dds.header,Tiny_8,18361937,1520
