hash,file,bundle,offset,size
09c183d077513380,sparks_spiral_demon.mat,Tiny_8,44595506,2208
839f65dc384e0068,trail_fl.mat,Tiny_8,44562640,2918
5d76574ca029837f,trail_flame.mat,Tiny_8,44565558,3452
e11439c936148a00,trail_dxt1.dds,Art/Textures/Pet/StygianSteed/Hellsteed/fx,43852,22012
3304a39750668642,trail_dxt1.dds.header,Tiny_8,44561800,840
1c323cbbf6aa9a11,tail_mask_dxt1.dds,Art/Textures/Pet/StygianSteed/StygianSteed,174924,22012
ca480d9017cb2abe,tail_mask_dxt1.dds.header,Tiny_8,44620910,840
257ffdda85f093ff,lava_dots_at.mat,Tiny_8,44556280,1920
5d161d616925cd79,light_beam.mat,Tiny_8,44558200,3600
632e92b17740cf9d,fire_bits_2x2.mat,Tiny_8,44550956,3804
9c35e8e5a4b99d95,fx_hellsteed_mane_dxt1.dds,Art/Textures/Pet/StygianSteed/Hellsteed/fx,0,43852
284bda875d638de3,fx_hellsteed_mane_dxt1.dds.header,Tiny_8,44554760,1520
