hash,file,bundle,offset,size
f9fd882482140296,bulb_glint.fxgraph,Folders/metadata/particles,3577086,10962
b896eec348464e8f,cold_wave_beam.fxgraph,Folders/metadata/art,30393146,14252
2fdc56c89843e8c2,flame_strafe_hit_shockwave.fxgraph,Folders/metadata/particles,4254930,9042
809ff51abb0cb2b1,grad_space.fxgraph,Folders/metadata/particles,7681300,9772
0bb14494a4936125,wave2_beam.fxgraph,Folders/metadata/art,30621132,14260
fd1ce000dc9e53ac,wave_beam.fxgraph,Folders/metadata/art,30393146,14252
f2ac1702b0197471,shockwave.fxgraph,Folders/metadata/particles,4254930,9042
f8d08e4852b96c6f,space_at.fxgraph,Folders/metadata/art,30564444,42382
4cfca394789f1b03,space_beam.fxgraph,Folders/metadata/art,30606826,14306
19041926949eb0d7,smoke.fxgraph,Folders/metadata/particles,8918140,6142
d3279817c85310db,smoke_shockwave_01.fxgraph,Folders/metadata/art,30635392,48096
9d384728353a71ba,smoke_shockwave_broken.fxgraph,Folders/metadata/art,38194138,33754
70fec247e000843f,pillar_shieldc.fxgraph,Folders/metadata/art,30532524,31920
007ec8363ed25edb,plexus.fxgraph,Folders/metadata/particles,9633220,4548
6d102f2b982fe7be,ice_ground.fxgraph,Folders/metadata/art,30407398,43850
0351e20dc98df067,ice_noise_wave.fxgraph,Folders/metadata/art,30451248,38088
