hash,file,bundle,offset,size
0bfd8d012dc34ef6,thunder.epk,Tiny_9,202131448,406
9ee3f85c69790cf0,thunder_boom.ao,Tiny_9,202131854,3548
9b27f71c57dac03b,thunder_charged.epk,Tiny_9,202135402,622
478280d6ef685daf,thunder_ignite.epk,Tiny_9,202136024,216
521f88f2fa990429,purity.epk,Tiny_9,202104948,406
2b07b72c8866cd58,purity_minions.ao,Tiny_9,202105354,17532
91c855bb225ec4a5,purity_minions_spawn.ao,Tiny_9,202128754,2694
abbe03afbd92d89a,purity_minions_slam.ao,Tiny_9,202122886,2916
48b70dd79ffc9205,purity_minions_slam_big.ao,Tiny_9,202125802,2952
f8dd8c8ed898ccc9,ice.epk,Tiny_9,202078148,406
d8abc71ced64619b,ice_boom1.ao,Tiny_9,202078554,5626
f120447c38c93fe0,ice_boom2.ao,Tiny_9,202084180,4536
602ca11b6985d724,ice_boom3.ao,Tiny_9,202088716,5114
790d5800f37769bb,ice_boom4.ao,Tiny_9,202093830,5386
360bd19ce9a71369,ice_boom5.ao,Tiny_9,202099216,5732
8cb7eee168979bd6,ash.epk,Tiny_9,201671886,406
481cafb4a7923724,ash_ignite.epk,Tiny_9,201692422,216
92c7be04aa20820b,ash_boom1.ao,Tiny_9,201672292,3124
5ad8693d1368b5d1,ash_boom2.ao,Tiny_9,201675416,3622
945e7c49d766cd8f,ash_boom3.ao,Tiny_9,201679038,4034
c4e1798cb1785f2c,ash_boom4.ao,Tiny_9,201683072,4476
0c57d77193e51c64,ash_boom5.ao,Tiny_9,201687548,4874
ddacd5143befdfaa,agony.epk,Tiny_9,201632874,406
14538933422ece29,agony_spider.ao,Tiny_9,201633280,26768
870dbbb4f700dfbe,agony_spider_charged.epk,Tiny_9,201660048,222
d0267e0c59c63710,agony_spider_projectile.ao,Tiny_9,201666564,3826
23dc44bd9e719a27,agony_spider_spawn.ao,Tiny_9,201670390,1496
d736b0e199a4b517,agony_spider_mortar.ao,Tiny_9,201660270,3492
98ca5c1b38c4e0ba,agony_spider_mortar_impact.ao,Tiny_9,201663762,2802
