hash,file,bundle,offset,size
1f9a01c1ccadae78,shield.epk,Tiny_9,461913938,1162
a57879f7a72d2fa3,shield_epk_pass0.mat,Tiny_D,507400424,2240
6e79bf65464445bd,shield_epk_pass1.mat,Tiny_D,507421616,6284
d68e87a241386dac,dagger_wand.epk,Tiny_9,461757598,1450
540e8a62df0900d4,dagger_wand_epk_pass0.mat,Tiny_D,507400424,2240
8cc08172f5373b92,dagger_wand_epk_pass1.mat,Tiny_D,507421616,6284
30e38cb01f8a6d01,claw.epk,Tiny_9,461756196,1402
3b2962021b8f9dd6,claw_epk_pass0.mat,Tiny_D,507400424,2240
a933837cb0455dc9,claw_epk_pass1.mat,Tiny_D,507421616,6284
5d6276b44b8ecfeb,bow.epk,Tiny_9,461755030,1166
088642cac3faf86b,bow_epk_pass0.mat,Tiny_D,507400424,2240
ef8a935c98b62a18,bow_epk_pass1.mat,Tiny_D,507421616,6284
a28e5442faf997ca,2h_sword.epk,Tiny_9,461753604,1426
29adc7147200dfa3,2h_sword_epk_pass0.mat,Tiny_D,507400424,2240
1da31d6905be9efa,2h_sword_epk_pass1.mat,Tiny_D,507421616,6284
e0e61db7f39922c6,2h_staff.epk,Tiny_9,461752422,1182
1de29cf56be0f2a3,2h_staff_epk_pass0.mat,Tiny_D,507400424,2240
1bd85a5722333847,2h_staff_epk_pass1.mat,Tiny_D,507421616,6284
66d7436ed13633dd,2h_mace.epk,Tiny_9,461750738,1684
f89437a62f628910,2h_mace_epk_pass0.mat,Tiny_D,507400424,2240
8012b9963de95aba,2h_mace_epk_pass1.mat,Tiny_D,507421616,6284
dc8b860822a09750,2h_axe.epk,Tiny_9,461749062,1676
eba5f7393ee50d4d,2h_axe_epk_pass0.mat,Tiny_D,507400424,2240
d04095b8b751a32a,2h_axe_epk_pass1.mat,Tiny_D,507421616,6284
777c4e014401aa51,1h_sword.epk,Tiny_9,461747636,1426
062b9cc9d55d3365,1h_sword_epk_pass0.mat,Tiny_D,507400424,2240
40c34fbc024a77a0,1h_sword_epk_pass1.mat,Tiny_D,507421616,6284
e549c4182b19c6d1,1h_axe_mace.epk,Tiny_9,461745920,1716
384b2ca9bebeee1b,1h_axe_mace_epk_pass0.mat,Tiny_D,507400424,2240
375b8cacab1aa4f8,1h_axe_mace_epk_pass1.mat,Tiny_D,507421616,6284
