hash,file,bundle,offset,size
b0ca81dcafd3909f,drip_btm_u.mat,Tiny_D,54762902,11858
6457c30bc3543b4a,embers_u.mat,Tiny_D,54774760,21662
38257cc73661b062,ground_shatter_line_r.mat,Tiny_D,54796422,101320
91758294087d3014,smoke_grd_r.mat,Tiny_D,54982484,51420
385ae1f7c6e149cd,smoke_grd_u.mat,Tiny_D,55033904,5646
683d511f879a9699,pt_grd_u.mat,Tiny_D,221839136,770
203ce6cb4f93e7a6,pt_streaks_r.mat,Tiny_D,54910782,71702
9e72a9b04447debb,pt_u.mat,Tiny_D,238822821,1124
6609e0b4443d4a44,nova_glowtuft_02_u.mat,Tiny_D,54897742,13040
013cb6a86b348c6b,nova_glowtuft_01_r.mat,Tiny_D,84998626,49452
7124a649319e48a6,nova_glowtuft_01_u.mat,Tiny_D,85048078,9052
8f11c5851d433ec3,heat_ribbons_r.mat,Tiny_D,84894014,32446
f3af13582aa2ea51,heat_ribbons_u.mat,Tiny_D,84926460,42060
