hash,file,bundle,offset,size
ad149865009f1c24,clarity.epk,Tiny_D,418439714,178
4e578cff7d253a6c,energy.epk,Tiny_D,418439892,206
eadaee8456c3561a,faster_runattack.epk,Tiny_D,418440098,208
c9ff4e28ae03e76b,godmode.epk,Tiny_D,418440306,194
9fa9c9d519bf593f,medium_damage.epk,Tiny_D,418441322,206
832c98784e081769,spell_thorns.epk,Tiny_D,418441528,204
9aad606c47c45088,thorns.epk,Tiny_D,418441732,192
a81d701c444e851b,increase_accuracy.epk,Tiny_D,418440902,210
662730611aede335,increase_resist.epk,Tiny_D,418441112,210
4e21570dc4618ca5,health_regen.epk,Tiny_D,418440500,198
9e940b8db9a3bf07,heavy_damage.epk,Tiny_D,418440698,204
