hash,file,bundle,offset,size
6e162d1b6d819424,8open_01.arm,Folders/metadata/3/terrain,1395068,42052
967146ba4e873f51,8open_02.arm,Folders/metadata/7/terrain,1072102,51392
9b3d7e09e0285522,8open_03.arm,Folders/metadata/8/terrain,851510,48404
fac2fb48402284ab,8open_04.arm,Folders/metadata/A/terrain,1422326,56236
358cb69d4b8a6a9c,8open_05.arm,Folders/metadata/F/terrain,1186488,46840
b127ce395d039151,6open_side_01.arm,Folders/metadata/0/terrain,1390252,42392
3ea504012fa9dec2,6open_side_02.arm,Folders/metadata/4/terrain,1298632,50308
cbdc402f94f2dbeb,6open_side_03.arm,Folders/metadata/C/terrain,1345970,44712
5ae5f4c439c2bcc8,6open_corner_01.arm,Folders/metadata/F/terrain,6023380,48694
78928df2d5482ffd,6open_corner_02.arm,Folders/metadata/7/terrain,1025730,46372
c9c484c930c473ba,6open_corner_03.arm,Folders/metadata/A/terrain,1380786,41540
