hash,file,bundle,offset,size
,armourset,,,978132
,frames,,,974864
,weapon,,,778584
,wings,,,778584
,hats,,,1044648
,gloves,,,1104628
,wings_1,,,1300908
,wrappingpaper,,,753004
,gloves_1,,,845100
,weapon_1,,,1041380
,wrappingpaper_1,,,853788
,weapon_2,,,2076544
,weapon_3,,,1038280
,wings.1,,,1367424
,weapon.1,,,1493856
,hats.1,,,2984572
,shoes,,,1297640
,shields,,,648820
,bodyarmour,,,1171128
,gloves_2,,,1038280
,wings_2,,,1816908
,character,,,1557420
,shoes_1,,,1297808
,portals,,,1038280
,portals_1,,,1917416
,frames_1,,,1427532
,gloves_3,,,1364420
,wings_3,,,1297768
