hash,file,bundle,offset,size
f6e81487583d196b,blink_spiral_bigger.mat,Tiny_1,61681026,2772
42458d5bbfd69650,lightning_random_glowy.mat,Tiny_1,61689582,2966
4bae7f0cd0ca15ec,particle_out_flipbook.mat,Tiny_1,61692548,1802
d6f969da0bc3110c,space.mat,Tiny_1,61694350,6316
ca0b0d3403d6dab0,gold_spark.mat,Tiny_1,61686942,1376
3b241a644322df1f,grad_blk.mat,Tiny_1,61688318,1264
b7ac10777eeb3578,flash_mid.mat,Tiny_1,61685362,1580
941b6e21f183b6b3,flash_ring_sub_dxt5.dds,Folders/art/particles/monster_particles/atlasexiles_D,87548,87556
78deff5a9125da44,flash_ring_sub_dxt5.dds.header,Tiny_7,51856738,1520
81d99825e0302d32,circle_out.mat,Tiny_1,61683798,1564
f7ffa6f1cf1caa36,cloud_black_dxt5.dds,Art/particles/smoke,0,22020
a7669b9dcf94bef7,cloud_black_dxt5.dds.header,Tiny_7,50036062,1520
