hash,file,bundle,offset,size
85189f864a0645be,runes_small_multic.mat,Tiny_1,63062564,1904
2f2505b19bef479c,runes_small_multi.dds,Art/Microtransactions/spell/storm_call_4,1609858,87588
4eea300482d41d03,runes_small_multi.dds.header,Tiny_1,63062060,504
87129ea8903bbc4a,runes_small_adac.mat,Tiny_1,63059636,2424
b06fff379bf9fc46,runes_small_ada.dds,Art/Microtransactions/spell/storm_call_4,902094,43868
737d666ad2346bf4,runes_small_ada.dds.header,Tiny_1,63059132,504
021398129c4887a1,big_rune_multic.mat,Tiny_1,63057670,1462
9647c7a0446fded7,big_rune_multi.dds,Art/Microtransactions/spell/storm_call_4,552394,349700
9b955847d196cbd7,big_rune_multi.dds.header,Tiny_1,63056150,1520
695ba4cca0cc3b61,big_rune_addac.mat,Tiny_1,63053778,2372
42c05f7f9d61aee6,big_rune_adda.dds,Art/Microtransactions/spell/storm_call_4,945962,174924
63c45b0062b7d6bc,big_rune_adda.dds.header,Tiny_1,63052258,1520
