hash,file,bundle,offset,size
f475c4ef03a64fa6,trail_blood.mat,Tiny_6,54341953,892
b19d08ba1f8234e3,trail_blood_dxt5.dds,Folders/art/particles/monster_particles/league_betrayal_61,0,87556
14439f46db00918c,trail_blood_dxt5.dds.header,Tiny_6,108517910,1520
c05c44db9f8641e3,stone_dust.mat,Tiny_6,54339961,1152
2881b48efb5fab0f,stone_dust_dxt5.dds,Art/particles/monster_particles/act3_2,524648,43876
09a0a41c2372363d,stone_dust_dxt5.dds.header,Tiny_6,54341113,840
d14321097513921e,blood_trail.mat,Tiny_6,54335865,3256
be8590f9aa4eb701,blood_trail_dxt5.dds,Art/particles/monster_particles/act3_2,349700,174948
b172092fafd00138,blood_trail_dxt5.dds.header,Tiny_6,54339121,840
aa55ca856fee32ed,blood_splat_1_specular_dxt5.dds,Art/particles/monster_particles/act3_2,0,349700
89ee4bb1a64ea612,blood_splat_1_specular_dxt5.dds.header,Tiny_6,54334345,1520
bc43a0792b121d3a,blood_splat_1_normal_dxt5.dds,Art/particles/monster_particles/act3_1,2099804,349700
c1aef4df4be97917,blood_splat_1_normal_dxt5.dds.header,Tiny_6,54332825,1520
143d789e3e483511,blood_splat_1_colour.mat,Tiny_6,54329491,3334
4ac573b85fa4e8a5,blood_splat_1_colour_dxt5.dds,Art/particles/monster_particles/act8_9,704054,349700
d3f16f348af7cb2e,blood_splat_1_colour_dxt5.dds.header,Tiny_6,65160337,1520
79e70a12fe105114,blood_multi.mat,Tiny_6,54327343,1308
1f3c1b51eca8db52,blood_multi_dxt5.dds,Art/particles/conditions/maimed,0,43876
4e527d516ae2683e,blood_multi_dxt5.dds.header,Tiny_6,54328651,840
