hash,file,bundle,offset,size
aa6c67fa1e3466cd,waterspiralmonstercns.mat,Tiny_6,73380797,3554
1a72d185da3e7d20,waterspiralmonster_colour.dds,Folders/art/particles/monster_particles/atlasofworlds_1,2107388,11100
61bcac2fb12a2bd3,waterspiralmonster_colour.dds.header,Tiny_6,73380293,504
4dc3be1b5676e71d,waterspiralmonsterns.dds,Folders/art/textures/monsters/9/demonspiders,349848,22052
a913eaadc31c3641,waterspiralmonsterns.dds.header,Tiny_8,44928028,504
64688061ce8f264b,literocks_gloss.mat,Tiny_6,73378989,1304
fe01b90be084c9ae,literocks_gloss.dds,Folders/art/particles/monster_particles/atlasofworlds_3,0,87588
3c0908109da994a4,literocks_gloss.dds.header,Tiny_7,55492223,504
dbed2dbf81b4f8d0,literocks_colour.mat,Tiny_6,73374989,4000
10f5e8ce3db315fe,literocks_colour.dds,Art/particles/monster_particles/AtlasofWorlds_80,743832,87588
17b4d3dae52b56b3,literocks_colour.dds.header,Tiny_6,79710425,504
81bca1e243d96703,literocksns.dds,Art/particles/trap_02/ice_siphon,0,87588
d258129d880a864d,literocksns.dds.header,Tiny_7,55495371,504
9cd1b4694793ae89,light_grad.mat,Tiny_6,73372965,2024
be674ac703b71402,light_grad.dds,Art/particles/Incinerate/cone_02_1,0,11084
b0412b98f5cc4163,light_grad.dds.header,Tiny_7,38998930,1520
15104ac5163e46a4,kaomwall_normal.mat,Tiny_6,73371661,1304
2a85a0338b6e63ba,kaomwall_normal.dds,Art/particles/monster_particles/AtlasofWorlds_7,524624,349700
60708ced6db0b7a6,kaomwall_normal.dds.header,Tiny_6,73396279,1520
47938217f73e15d7,jaggeredrockcns.mat,Tiny_6,73365315,6346
3b869b4dc543ff25,jaggeredrock_colour.dds,Art/Microtransactions/Town_Portal/SubjugatorPortal,830808,349700
33eba034585f5aaa,jaggeredrock_colour.dds.header,Tiny_6,73363795,1520
086d9ee629dea0f2,jaggeredrockns.dds,Art/Microtransactions/Town_Portal/SubjugatorPortal_1,0,349700
105dedf965d4c56d,jaggeredrockns.dds.header,Tiny_6,73394759,1520
539b7112ce2d8fba,boom.mat,Tiny_6,73361367,2428
e4acbbbf57b5b507,boom.dds,Folders/art/particles/monster_particles/atlasofworlds_1,2063536,43852
ec77f4ae1753e166,boom.dds.header,Tiny_6,73359847,1520
