hash,file,bundle,offset,size
de30e3850e960a73,runesc.mat,Tiny_7,12371137,3278
0bd2edafc6014fcd,runes_multic.mat,Tiny_7,12368699,2438
4b3dbaedf38051e5,runes_multi.dds,Art/particles/monster_particles/League_Incursion_16,1749948,349700
d11e3a3b3db64f49,runes_multi.dds.header,Tiny_7,12367179,1520
477804765af8a183,runes.dds,Folders/art/particles/monster_particles/league_incursion_2,2412440,349700
b30f2b3aa526043a,runes.dds.header,Tiny_7,12365659,1520
9afcad43fa6b2b80,lavacns.mat,Art/particles/monster_particles/League_Incursion_16,2274760,5084
af854c5f5a0eca44,lava_colour.dds,Art/particles/monster_particles/League_Incursion_16,2099648,87556
05d5e3ea0203d1b9,lava_colour.dds.header,Tiny_7,12364139,1520
4719b7fc1a99f367,lavans.dds,Art/particles/monster_particles/League_Incursion_16,2187204,87556
8017a8a39c187f8f,lavans.dds.header,Tiny_7,85625823,1520
11f90d67f7922512,fire_twist_atc.mat,Tiny_7,12299749,3844
cef1476f4f82d889,fire_twist_at.dds,Art/particles/monster_particles/Phoenix_1,847904,22020
bdf45763d4461f3e,fire_twist_at.dds.header,Tiny_7,38969222,1520
