hash,file,bundle,offset,size
0f665e7dc0d6ce20,slashc.mat,Tiny_7,16337213,4012
dda828e3f467c90c,slash_mask_dxt1.dds,Art/particles/monster_particles/League_Blight,0,174924
14d715f8145047b9,slash_mask_dxt1.dds.header,Tiny_7,18480013,1520
0c67c0a12521ca98,slash_dxt1.dds,Folders/art/particles/monster_particles/atlasexiles_3,371720,43852
e8ddc06368404623,slash_dxt1.dds.header,Tiny_7,16335693,1520
1237d9f4c44adb97,slash2.mat,Tiny_7,16331527,2646
86eb3504058c1aae,slash2_dxt1.dds,Folders/art/particles/monster_particles/league_legion_6,634200,43852
160a6a1fbc811056,slash2_dxt1.dds.header,Tiny_7,16334173,1520
73dc5dd66153d527,pro_flare.mat,Tiny_7,16327907,2100
6829970a08152706,pro_flare_dxt1.dds,Folders/art/particles/monster_particles/league_legion_5,174940,43852
73ce497bd88e6253,pro_flare_dxt1.dds.header,Tiny_7,16330007,1520
9f2c634f5643a300,light_grad.mat,Tiny_7,16323207,3180
22484123302205ce,light_grad_dxt1.dds,Folders/art/microtransactions/town_portal/wastelandportal,470548,43852
4a128e72579d2b7c,light_grad_dxt1.dds.header,Tiny_7,16326387,1520
