hash,file,bundle,offset,size
86a1996041335452,aura_white.ao,Tiny_8,134354732,5906
b677607c93722e46,floor.pet,Tiny_8,134370760,39700
c47805fc587cf28f,polaris_white_aura.epk,Tiny_8,134410460,192
db44ee786afb1b4b,tubes.trl,Tiny_9,273306938,1452
ae85ca79905f45be,tubes2.trl,Tiny_9,273308390,1468
cff569904baeea2f,trails.pet,Tiny_8,134428888,18166
22075ea92513649f,trails.trl,Tiny_9,273293570,5830
d5e3c98f08475a90,spawn.ao,Tiny_8,134410652,2636
30d6e39539c202f8,spawn.pet,Tiny_8,134413288,15600
8bcdf1f31c17cc96,dragon_nose.trl,Tiny_9,273290446,3124
bbe7c3c88912313b,dragon_ball.pet,Tiny_8,134360638,4984
dc7796d7352be84f,dragon_ball_alt.pet,Tiny_8,134365622,5138
