hash,file,bundle,offset,size
29668032059b63f9,speedboots_01.pet,Tiny_E,36479099,82
70950123f5a5ae1e,speedboots.pet,Tiny_8,166866248,3266
91bb2c92e24bdb43,speedboots.trl,Tiny_8,166869514,1704
dcddf9d52a52f315,idle1.pet,Tiny_8,166836448,3344
be3764154d72cd20,idle2.pet,Tiny_8,166839792,3190
bb04291e85870ac2,idle3.pet,Tiny_8,166842982,3244
e58199ec58515313,idle4.pet,Tiny_8,166846226,3244
d74addf472f995fe,idle5.pet,Tiny_8,166849470,3274
b6e5d2574ced1ec6,idle6.pet,Tiny_8,166852744,6752
2fd4dee587943486,idle7.pet,Tiny_8,166859496,6752
