hash,file,bundle,offset,size
768225259deb9f86,heatwave_r.mat,Tiny_9,174108958,30068
eff01156893d27a0,impact_r.mat,Tiny_9,174139026,23366
8d48559977fa36c4,point_u.mat,Tiny_11,150820658,310
7d851922741136dc,zoom_distortion_r.mat,Tiny_9,174443520,16040
1a749eeae1278d60,sphere_distortion_r.mat,Tiny_9,174353276,13632
a64c00763875c48f,sulphur_some_u.mat,Tiny_9,174436298,7222
d36db96dd16863f4,sulphur_smoke.mat,Tiny_9,174366908,29024
011635ab830da212,sulphur_smoke_r.mat,Tiny_9,174395932,33168
2e26e031ae020266,sulphur_smoke_u.mat,Tiny_9,174429100,7198
f2752545683a223e,smoke_r.mat,Tiny_9,174314968,29798
063c47c2f678a05e,smoke_u.mat,Tiny_9,174344766,8510
99b67296ed2b63b5,shockwave_distortion_r.mat,Tiny_9,174256008,26356
670362e13297a2e4,shockwave_r2.mat,Tiny_9,174282364,32604
9ba7b64f0825010d,sandparticles_r.mat,Tiny_9,174214562,29234
ce7ac6eb94ced38d,sandparticles_u.mat,Tiny_9,174243796,12212
86eb6cbf9cbbcc0f,rock_r.mat,Tiny_9,174162392,31462
a815b4c7a1ec58b1,rock_u.mat,Tiny_9,174193854,20708
07b4bda87ac1ade8,glow_r.mat,Tiny_9,174077638,15372
393a0a5a57206f3a,glow_r2.mat,Tiny_9,174093010,15948
e785ebca26280898,flare_r.mat,Tiny_9,174045166,16042
a1d9464445c93901,flare_r2.mat,Tiny_9,174061208,16430
383e1d8a52cdebe8,embers_u.mat,Tiny_9,174014176,13814
22adf43f981f7a67,embers_u2.mat,Tiny_9,174027990,17176
ca86d5989ae81755,embers_r.mat,Tiny_9,173961756,25110
5a59b87ddc67c4d0,embers_r2.mat,Tiny_9,173986866,27310
