hash,file,bundle,offset,size
50a6352e2a1b5f33,explode_sparks_01_r.mat,Tiny_9,342232642,38950
da5172a8776c7300,explode_sparks_u.mat,Tiny_D,93168314,27606
d510bfda15f0c334,explode_shockwave_r.mat,Tiny_9,342090960,47262
4af32c33ec4d0619,explode_shockwave_u.mat,Tiny_9,342043254,1000
621d331e2041b0dd,explode_ring_r.mat,Tiny_9,342044254,46706
2fa18a4374abd053,explode_ring_u.mat,Tiny_11,97731594,1386
a4b8b81c3a298f94,explode_pushwave_r.mat,Tiny_9,341992114,51140
bb7b2357a01c6bb6,explode_pushwave_u.mat,Tiny_9,342043254,1000
09447d1c7c095a18,explode_glow_r.mat,Tiny_9,341953412,38702
59417265360ef798,explode_glow_u.mat,Tiny_D,523380131,560
6b046b9e79b3295c,explode_bluroomph_r.mat,Tiny_9,341944678,8734
faf9f14cf7f798c2,explode_bluroomph_u.mat,Tiny_11,127344428,346
