hash,file,bundle,offset,size
1aec5cb379b2c119,flow_scavenger_portal.fxgraph,Folders/metadata/effects_2,23351952,56684
624dc2810b326b95,trails_skull.trl,Tiny_9,434259858,2398
dd44335aa744077a,trails_skull_alt.trl,Tiny_9,434262256,2084
053c9270a4086db1,open_cyl.pet,Tiny_9,434227208,8558
2bf78919f18bf0a3,open_floor_circ.pet,Tiny_9,434235766,8926
e118a247b8614eb6,open_frameupper.pet,Tiny_9,434244692,15166
8921130e41029edf,loop_beams.pet,Tiny_9,434194986,8930
f688807a54504c82,loop_frameupper.pet,Tiny_9,434203916,8984
2291653ae8233196,loop_lamps.pet,Tiny_9,434212900,8758
6c13ab5a7c9765ec,loop_screen.pet,Tiny_9,434221658,2770
0b771c98dd9e3f60,loop_skulleyes.pet,Tiny_9,434224428,2780
