hash,file,bundle,offset,size
fb2bedb49d4d9078,ball_mblur_r.mat,Tiny_D,24249066,9214
67f4f521c0ee8a35,pnt_u.mat,Tiny_11,150820658,310
f5f6292c3312608c,wp_blurtrl.mat,Tiny_D,24650722,8024
765d7c69785ca82e,wp_darkwisp_u2.mat,Tiny_D,24672956,9032
ff9af9d461bc75b4,wp_soultrl.mat,Tiny_D,24775360,11434
ce8747b3f189678b,wp_smoke_r.mat,Tiny_D,24730864,39622
275837fab02cb73a,wp_smoke_u.mat,Tiny_D,24770486,4874
f0384d2f9059a882,wp_skull_u.mat,Tiny_D,24710856,10008
ccd85de327e6a0a8,wp_skull_u2.mat,Tiny_D,24720864,10000
9df25b72d1ffefab,wp_shield_flicker.mat,Tiny_D,24695078,11812
fa972a0e083799ce,wp_shield_flicker_2ndpass.mat,Tiny_D,24706890,3966
eb6a3088b782cdbd,wp_flicker.mat,Tiny_D,24681988,9684
d15cf687954de5d6,wp_flicker_2ndpass.mat,Tiny_D,24691672,3406
3e839d9a4bf91bef,wp_claw_flicker.mat,Tiny_D,24658746,10244
321e3652d7308d90,wp_claw_flicker_2ndpass.mat,Tiny_D,24668990,3966
973f01b764466e18,shimmer_r.mat,Tiny_D,24374272,16570
0952df0561316181,soultrl.mat,Tiny_D,24640594,10128
51ea32b54f6c10c2,soul_ribbons_u.mat,Tiny_D,24630244,10350
077f8e4113149a65,soul_ribbons_r.mat,Tiny_D,24557702,48454
ae13a5b5aef5f54b,soul_ribbons_r2.mat,Tiny_D,24606156,24088
2ffa795582e16502,soul_leave_blur_skin.mat,Tiny_D,24530450,10158
6de2399cc2d8e145,soul_leave_skin.mat,Tiny_D,24540608,17094
40c058c2c24d067f,smoke_u.mat,Tiny_D,24510476,8818
98a7e8ed2bb95ae3,smoke_u2.mat,Tiny_D,24519294,11156
be2ea2e41a76298b,smoke_r.mat,Tiny_D,24436370,38860
28cfa4ce342a73dd,smoke_r2.mat,Tiny_D,24475230,35246
10eeacee7df49bd9,skull_u.mat,Tiny_D,24427552,8818
0d0e10ba940f7b05,skull_r.mat,Tiny_D,24390842,16196
1a6c2d6e3e4ac50d,skull_r2.mat,Tiny_D,24407038,20514
3eb654bce338ba57,dark_ribbon_r.mat,Tiny_D,24258280,40602
0bd832a67bd37280,dark_ribbon_u.mat,Tiny_D,24298882,5536
921db63c324e00be,darkwisp_u.mat,Tiny_D,24343642,10532
444aab88dd920a20,darkwisp_u2.mat,Tiny_D,24354174,10368
c2a4128fccd308df,darkwisp_u3.mat,Tiny_D,24364542,9730
deabf4de91cfcb5e,darkwisp_r.mat,Tiny_D,24304418,18850
c93f25a0ffc676d4,darkwisp_r2.mat,Tiny_D,24323268,20374
