hash,file,bundle,offset,size
124548a7f5bcacdd,3_hall_to_1_yard_01.arm,Folders/metadata/8/terrain,6086174,13004
9751ec0917c90c83,3_hall_to_1_yard_02.arm,Folders/metadata/5/terrain,7105738,10464
a6e5bba5b4985fdb,3_hall_to_1_yard_03.arm,Folders/metadata/A/terrain,7231016,9920
3e084484ffd45311,3_hall_to_1_yard_04.arm,Folders/metadata/6/terrain,7771318,9844
8fc19057177280f5,2_hall_to_1_yard_turn_01.arm,Folders/metadata/0/terrain,7063930,9614
042118aeb92e5e0b,2_hall_to_1_yard_turn_02.arm,Folders/metadata/4/terrain,6383450,9124
23f62262c834d74e,2_hall_to_1_yard_turn_03.arm,Folders/metadata/F/terrain,6266028,11580
82d4ff5d685a8dc0,2_hall_to_1_yard_turn_04.arm,Folders/metadata/3/terrain,6655232,10782
a275894f88ddc8e9,2_hall_to_1_yard_straight_01.arm,Folders/metadata/3/terrain,6646654,8578
90ca3a141a06690e,2_hall_to_1_yard_straight_02.arm,Folders/metadata/F/terrain,6257290,8738
a803a97f2935ac11,2_hall_to_1_yard_straight_03.arm,Folders/metadata/1/terrain,7283396,10914
fd0e64bc54e066fe,2_hall_to_1_yard_straight_04.arm,Folders/metadata/7/terrain,6179168,11198
6e25a60aacbc71dc,1_hall_to_1_yard_turn_01.arm,Folders/metadata/F/terrain,6247132,10158
6e9d2a649c582a80,1_hall_to_1_yard_turn_02.arm,Folders/metadata/E/terrain,6711590,9698
048284c8a397c513,1_hall_to_1_yard_turn_03.arm,Folders/metadata/A/terrain,7210922,9504
df2b6a1d77236060,1_hall_to_1_yard_turn_04.arm,Folders/metadata/A/terrain,7220426,10590
