hash,file,bundle,offset,size
765b28d02921ce5e,spark_01.mat,Tiny_1,16993595,1842
cf78c5d5839dea15,spark_01_dxt5.dds,Folders/art/microtransactions/character_fx/plated,1055628,174948
03dd9d7d9964ed76,spark_01_dxt5.dds.header,Tiny_1,22962780,840
3b29d2cd693e374d,spark1.mat,Tiny_1,16991689,1906
33a663be37cf41b7,spark1_dxt1.dds,Tiny_7,53255825,332
7487bbfd9ce255b3,spark1_dxt1.dds.header,Tiny_7,53256157,1520
adf4edf390b75721,soul_white.mat,Tiny_1,16989579,2110
6b65f67735465028,soul_white_dxt1.dds,Folders/art/particles/lib/5/jav_3,174924,22012
b34d0747ac377fea,soul_white_dxt1.dds.header,Tiny_6,44797763,840
0fee4e9a86caaea5,red_trail.mat,Tiny_1,16988489,1090
f2def896f7969881,rainbow.mat,Tiny_1,16987017,1472
a907146b7a95991e,rainbow_dxt1.dds,Art/Microtransactions/Aura/ZenithBarrage,0,11084
ad6060a949404a1e,rainbow_dxt1.dds.header,Tiny_7,14502677,1520
cf404c9cdbf96c84,pulse2.mat,Tiny_1,16983753,1744
9e4b6db73ea62386,pulse2_dxt1.dds,Art/Microtransactions/Aura/ZenithBarrage,22168,11084
93be367b6ecaf329,pulse2_dxt1.dds.header,Tiny_1,16985497,1520
7afaf74c1a1d4680,light_gradient.mat,Tiny_1,16980081,2152
1fa7bfc93ed0675f,light_gradient_dxt1.dds,Art/Microtransactions/Aura/ZenithBarrage,11084,11084
6d49dbbe9b8f929d,light_gradient_dxt1.dds.header,Tiny_1,16982233,1520
5f5adf892929f23e,holy_light_gradient.mat,Tiny_1,16977851,2230
f8f151f67f571662,holy_light_gradient_dxt5.dds,Folders/art/microtransactions/spell/heralds_6,1631229,87556
4de121d50c107a3a,holy_light_gradient_dxt5.dds.header,Tiny_7,53470867,1520
9bb07d0c3245c655,flare.mat,Tiny_1,16975341,2006
bf8417fabb521047,flare_dxt5.dds,Art/Microtransactions/Aura/ZenithBarrage,33252,87588
2662b9d7eaec8204,flare_dxt5.dds.header,Tiny_1,16977347,504
