hash,file,bundle,offset,size
76b2b78d0f02c9a2,trail_xt_multi.mat,Tiny_1,18794046,1364
761dee1423e93bc5,trail_xt_multi.dds,Folders/art/microtransactions/bodyarmours/wings,279748,43876
2047d3ba751d97c2,trail_xt_multi.dds.header,Tiny_1,18793206,840
b9d134a04c3b5541,trail_xt.mat,Tiny_1,18791962,1244
e9fed109b435f025,trail_xt.dds,Folders/art/microtransactions/bodyarmours/wings,235872,43876
d07c5e3dc3bfc2f0,trail_xt.dds.header,Tiny_1,25335012,840
384e0717ab592287,trail_mul2.mat,Tiny_1,18790358,1604
3dac9e2e4a87c494,trail_mul2.dds,Art/particles/monster_particles/League_Incursion_3,0,43876
a33112902bff81fc,trail_mul2.dds.header,Tiny_7,15396651,840
c7e9f3c1d085cb92,spiral.mat,Tiny_1,18788472,1886
778e2916d84412cf,spiral.dds,Folders/art/microtransactions/bodyarmours/wings,224788,11084
a0e2e586ad25c346,spiral.dds.header,Tiny_1,18786952,1520
934517fd3313d04b,light_gradient.mat,Tiny_1,18784138,1556
6f0bb6de7398aa55,light_gradient.dds,Tiny_1,18779726,2892
ffdeb28b96423dad,light_gradient.dds.header,Tiny_1,18782618,1520
908548651d6ee417,lightning_fb.mat,Tiny_1,18785694,1258
9dd5ac9e48fb5a22,lightning_fb.dds,Folders/art/microtransactions/spell/heralds_9,2242076,174940
be442bec6296e4f4,lightning_fb.dds.header,Tiny_1,51366357,504
02da6323cfe9c67e,grad_blk.mat,Tiny_1,18778206,1520
285a1b9b4153f421,grad_blk.dds,Tiny_1,51217336,1540
a93e91af21808a4e,grad_blk.dds.header,Tiny_1,51218876,1520
d2a2ccb802d98099,flash.mat,Tiny_1,18776990,1216
4660326806baf551,flash.dds,Tiny_6,49108904,2892
1914600ebf3296d5,flash.dds.header,Tiny_6,49111796,1520
