hash,file,bundle,offset,size
b84664292b5278b3,stg_skull_sss_dxt5.dds,Art/Microtransactions/spell/flame_dash_8,0,87556
5ac6f5cec73d510f,stg_skull_sss_dxt5.dds.header,Tiny_1,47691415,1520
563662e7e3797780,stg_skull_spc_dxt5.dds,Folders/art/microtransactions/spell/flame_dash_5,2033360,87556
2684b1c23f02b018,stg_skull_spc_dxt5.dds.header,Tiny_6,107020260,1520
bf9fbe90b883c5e5,stg_skull_nmlao_dxt5.dds,Art/Microtransactions/spell/flame_dash_4,0,87556
94af7c8496ac7c0f,stg_skull_nmlao_dxt5.dds.header,Tiny_1,47689895,1520
66675bad4f7a62e1,stg_skull_clrc.mat,Tiny_1,47681439,8456
d1d1d24869c99ec9,stg_skull_clr_dxt5.dds,Folders/art/microtransactions/spell/flame_dash_5,1945804,87556
7e8132c50a4f5733,stg_skull_clr_dxt5.dds.header,Tiny_1,47679919,1520
7c6c39756109775c,stg_skull_clr_bc7.dds,Folders/art/microtransactions/spell/flame_dash_5,1945804,87556
4b7315c61e9fbdd4,stg_skull_clr_bc7.dds.header,Tiny_1,47679919,1520
805fc2b68fac8a0a,stg_skull_clr.dds,Folders/art/microtransactions/spell/flame_dash_5,1901952,43852
b99556cc85a184be,stg_skull_clr.dds.header,Tiny_1,47678399,1520
366c69e470b454aa,stg_hood_sss_dxt5.dds,Folders/art/microtransactions/spell/flame_dash_5,1814396,87556
ae69dc81a24100c8,stg_hood_sss_dxt5.dds.header,Tiny_1,47676879,1520
e1ccf4770b78bc8b,stg_hood_spc_dxt5.dds,Folders/art/microtransactions/spell/flame_dash_5,1726840,87556
0a2c730a509f32b7,stg_hood_spc_dxt5.dds.header,Tiny_1,47675359,1520
bb9b504af651d821,stg_hood_nmlao_dxt5.dds,Folders/art/microtransactions/spell/flame_dash_5,1639284,87556
4287d326611a0525,stg_hood_nmlao_dxt5.dds.header,Tiny_1,47673839,1520
af1aa6aa5cf21da8,stg_hood_clrc.mat,Tiny_1,47664787,9052
e0de324f829b435a,stg_hood_clr_dxt5.dds,Folders/art/microtransactions/spell/flame_dash_5,1551728,87556
72a33380132e4c58,stg_hood_clr_dxt5.dds.header,Tiny_1,47663267,1520
22c1fc1ec6c553ca,stg_hood_clr.dds,Folders/art/microtransactions/spell/flame_dash_5,1464172,87556
8923bf781036c41f,stg_hood_clr.dds.header,Tiny_1,47661747,1520
d033f0c6139241e3,stg_ghost_sss_dxt5.dds,Art/Microtransactions/spell/flame_dash_7,0,5592580
a2785bc234d84d91,stg_ghost_sss_dxt5.dds.header,Tiny_1,47660227,1520
82ebc1a772d7d6c7,stg_ghost_spc_dxt5.dds,Art/Microtransactions/spell/flame_dash_5,0,5592580
5610018f53fae513,stg_ghost_spc_dxt5.dds.header,Tiny_1,47658707,1520
1e672c937672f75e,stg_ghost_nmlao_dxt5.dds,Art/Microtransactions/spell/flame_dash_3,0,5592580
89a011a16c0ccf39,stg_ghost_nmlao_dxt5.dds.header,Tiny_1,47657187,1520
8e897981a670b16e,stg_ghost_clrc.mat,Tiny_1,47646987,10200
ead8067be9b6d178,stg_ghost_clr_dxt5.dds,Art/Microtransactions/spell/flame_dash_9,0,5592580
703fe47ada3f63cb,stg_ghost_clr_dxt5.dds.header,Tiny_1,47645467,1520
8e005863d29856dc,stg_ghost_clr.dds,Art/Microtransactions/spell/flame_dash_11,0,5592580
06ddef120786f175,stg_ghost_clr.dds.header,Tiny_1,47643947,1520
fd42ee8e5c129d58,stg_ghost_add_dxt5.dds,Art/Microtransactions/spell/flame_dash_2,0,1398276
a3d0f6409b99a3d5,stg_ghost_add_dxt5.dds.header,Tiny_1,47642427,1520
