hash,file,bundle,offset,size
79d6be7843b0fc23,icesheild_cloud.sm,Tiny_1,53530929,436
6097ad4ce03d4f48,snowblobs.mat,Tiny_1,53540183,2380
637eb2ad74a912c2,snowblobs.dds,Art/Microtransactions/weapon_effects/black,131628,5636
7dd5e68a94e114d0,snowblobs.dds.header,Tiny_7,53617079,1520
72cfd4a276b62a3e,smoke_whisp.mat,Tiny_1,53538189,1994
0ea604049130fa79,smoke_whisp.dds,Art/Microtransactions/spell/ice_sheild,0,87556
401c0a56873ff3e5,smoke_whisp.dds.header,Tiny_1,87798900,1520
5e07e59f8caf865b,smoke_thick_01.mat,Tiny_1,53536091,2098
f366641ef067c4ef,smoke_thick_01.dds,Art/particles/environment_effects/act2,0,87556
ce471ad15b40bf9a,smoke_thick_01.dds.header,Tiny_6,25430016,1520
383521e3c489d59a,rig_7484a9ef.smd,Tiny_1,53534301,1790
1a8b3eea4675d8b2,rig_7484a9ef.smd.header,Tiny_1,87740510,368
58750ae47e319404,rig.amd,Tiny_1,88108577,204
3b49d02a6c9b7bd8,rig.ast,Tiny_1,53533465,836
99f1aa3b1ee986c6,rain_dark.mat,Tiny_1,53531365,2100
6b9abe6af2e58082,rain_dark.dds,Art/Microtransactions/spell/ice_sheild,87556,349700
449741791ccfce5f,rain_dark.dds.header,Tiny_1,87791866,1520
