hash,file,bundle,offset,size
2dbe6ee9be395f49,wispy_smoke_tile_dxt5.dds,Folders/art/particles/volatile_dead_chaos,203120,87556
98e973cc4794033b,wispy_smoke_tile_dxt5.dds.header,Tiny_6,94740355,1520
08b226b563bd15cb,trail_dark_soul.mat,Tiny_2,74659906,2998
915a9df93a504f00,trail_dark_soul_dxt5.dds,Folders/art/particles/monster_particles/atlasofworlds_B1,918420,43876
a1872591ca47ee11,trail_dark_soul_dxt5.dds.header,Tiny_6,79591703,840
c9e89f26238b224b,stygian_portal_cloth_glow_dxt1.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,786956,174924
7cc5425046c42587,stygian_portal_cloth_glow_dxt1.dds.header,Tiny_2,74642826,1520
130a5bd7ea01db44,stygianportal2c.mat,Tiny_2,74644346,4412
defe7ceae4dbc9dc,stygianportalc.mat,Tiny_2,74654838,5068
cdf139b11253af64,stygianportal_specular_dxt5.dds,Folders/art/models/misc/portals/stygianportal_fiery/textures,1311580,349700
259f2698683c8fc4,stygianportal_specular_dxt5.dds.header,Tiny_2,74653318,1520
8e252a075be9d0bc,stygianportal_normal_dxt5.dds,Folders/art/models/misc/portals/stygianportal_divine/textures,2622472,349700
bef0dba6398e6f02,stygianportal_normal_dxt5.dds.header,Tiny_2,74713870,1520
3e165eef4d6b010d,stygianportal_colour_dxt5.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,1486504,349700
68eed7968a1b3683,stygianportal_colour_dxt5.dds.header,Tiny_2,74651798,1520
ef8fa5323dca7af5,stygianportal_colour_dxt1.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,1311580,174924
3a773a5eb00fe365,stygianportal_colour_dxt1.dds.header,Tiny_2,74650278,1520
c4f1a618c7550f45,stygianportal_colour_bc1.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,1311580,174924
3ad2932d6839fde0,stygianportal_colour_bc1.dds.header,Tiny_2,74650278,1520
bddae797aebd7353,stygianportal_colour2.dds,Art/Textures/Misc/portals/StygianPortal,0,349700
a9934dcc4743b30e,stygianportal_colour2.dds.header,Tiny_8,31050208,1520
4db21ef7ad0aa3ed,stygianportal_colour.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,961880,349700
165562d20604aa39,stygianportal_colour.dds.header,Tiny_2,74648758,1520
29060a13c115f915,portal_centerc.mat,Tiny_2,74634326,8500
372a9a85108152e6,portal_center.dds,Art/Textures/Misc/portals/StygianPortal,1142120,349700
dcfa9334c6f2b3e1,portal_center.dds.header,Tiny_8,31038220,1520
a28504bf80b6e97c,gold_shatter_at.mat,Tiny_2,74629414,2890
86259ef636e02a2c,green_wisps.mat,Tiny_2,74632304,2022
cbde561c3657ff79,face_nmlaog_dxt5.dds,Folders/art/microtransactions/spell/summon_raging_spirits_celestial,598424,349700
56e4c86ade35c209,face_nmlaog_dxt5.dds.header,Tiny_2,74627894,1520
78d83bf339c86a3b,face_diff.mat,Tiny_2,74622558,3816
e58b8dd83f3ddf45,face_diff_dxt5.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,437256,349700
fb6061fdc4108086,face_diff_dxt5.dds.header,Tiny_2,74626374,1520
2099f10b73873865,dark_scrollc.mat,Tiny_2,74618794,3764
0d48cdb7e5c0c306,dark_scroll.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,349700,87556
a6c8294969fa2b7d,dark_scroll.dds.header,Tiny_2,74617274,1520
2158292fc1fa32e0,coldspark_mint.mat,Tiny_2,74615446,1828
501be9548136986d,coldspark_mint_dxt5.dds,Art/particles/monster_particles/skeletonship_raise_1,0,22020
5b3ce83c180e0c96,coldspark_mint_dxt5.dds.header,Tiny_7,40746955,1520
592aa809d265c24f,bone_nmlao_dxt5.dds,Art/Models/Misc/portals/StygianPortal_Ghostflame/Textures_1,0,1398276
ed132dd2d6e88ef2,bone_nmlao_dxt5.dds.header,Tiny_2,74613926,1520
ef848d037888919c,bone_clr.mat,Tiny_2,74605910,3754
e6f52226b014daa8,bone_clr_noplane.mat,Tiny_2,74611184,2742
546a7ab551852e51,bone_clr_dxt5.dds,Folders/art/models/misc/portals/stygianportal_ghostflame/textures,0,349700
e6b6c1c0109654a6,bone_clr_dxt5.dds.header,Tiny_2,74609664,1520
3639dfb7561d1242,bones_dxt1.dds,Folders/art/textures/environment/hideout/frontier/wild,0,699212
18bf02e54de16bbe,bones_dxt1.dds.header,Tiny_7,84188891,1520
