hash,file,bundle,offset,size
3f4a27b52c09be56,xpurgehound.sm,Tiny_3,8861561,592
ee0f665343961d7b,rig_f5006b03.smd,Art/Models/MONSTERS/PurgeHound,0,88598
196f8485f8f7f55a,rig_f5006b03.smd.header,Tiny_3,8857803,368
6670fa0fd9cbcdd1,rig.amd,Tiny_3,8860477,1084
1544918187dae6ca,rig.ast,Art/Models/MONSTERS/PurgeHound,264108,178474
15cf7f6274ea3e38,purgehound.sm,Tiny_3,8858907,448
a9f923e3584a1f21,purgehoundatlaspen.sm,Tiny_3,8859355,488
8bdf33ae4b632ec2,purgehoundbestiary.sm,Tiny_3,8859843,634
413542e58f51f564,armour_xpurgehound_75b61f56.smd,Art/Models/MONSTERS/PurgeHound,162576,101532
d0a84ac271289de2,armour_xpurgehound_75b61f56.smd.header,Tiny_3,8858539,368
62728aa6e56bed72,armour_purgehoundbestiary_30fcb3d0.smd,Art/Models/MONSTERS/PurgeHound,88598,73978
ce0439ac2d009e2c,armour_purgehoundbestiary_30fcb3d0.smd.header,Tiny_3,8858171,368
68cc81e1cce26207,armour_purgehoundatlaspen_f5006b03.smd,Art/Models/MONSTERS/PurgeHound,0,88598
bccb61bee6d731db,armour_purgehoundatlaspen_f5006b03.smd.header,Tiny_3,8857803,368
