hash,file,bundle,offset,size
3773960309361b69,kalguurruins_thickwall_st_03.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,1177966,153579
65d295267b068dbd,kalguurruins_thickwall_st_03.tgm.header,Tiny_5,59728133,1582
02081bb29ae4d707,kalguurruins_thickwall_st_02.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,1031981,145985
5195112b40ac6a1f,kalguurruins_thickwall_st_02.tgm.header,Tiny_5,59726595,1538
c2eddeddd471c19f,kalguurruins_thickwall_st_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,899908,132073
9ef9e3a251e8a8f2,kalguurruins_thickwall_st_01.tgm.header,Tiny_5,59725101,1494
48154bed3a5c3ee7,kalguurruins_thickwall_stemerge_01_c1r2.tgm,Tiny_5,59742837,773
b0012a0f805a4545,kalguurruins_thickwall_stemerge_01_c1r2.tgm.header,Tiny_5,59743610,264
5073cf5a8654979d,kalguurruins_thickwall_stemerge_01_c1r1.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,776381,123527
1f724d74b6af1a0a,kalguurruins_thickwall_stemerge_01_c1r1.tgm.header,Tiny_5,59741167,1670
0f9b12b40b3dcc8c,kalguurruins_thickwall_starena_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,643354,133027
99f2aaed3b015a08,kalguurruins_thickwall_starena_01.tgm.header,Tiny_5,59739673,1494
41acece1a30605da,kalguurruins_thickwall_starch_01_c1r2.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,368439,274915
e9e707903a3d9b1c,kalguurruins_thickwall_starch_01_c1r2.tgm.header,Tiny_5,59737783,1890
22f2e87863c6604d,kalguurruins_thickwall_starch_01_c1r1.tgm,Tiny_5,59736388,1131
35abca7d8f14a9ba,kalguurruins_thickwall_starch_01_c1r1.tgm.header,Tiny_5,59737519,264
c17018bc2e0a6978,kalguurruins_thickwall_stairsup_01_c2r2.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,191440,176999
f5b14fa94f51fe24,kalguurruins_thickwall_stairsup_01_c2r2.tgm.header,Tiny_5,59734190,2198
e1d9d3571d2b7578,kalguurruins_thickwall_stairsup_01_c2r1.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,176585,14855
be1b4494f10d6087,kalguurruins_thickwall_stairsup_01_c2r1.tgm.header,Tiny_5,59733095,1095
bdb04d11df42d97a,kalguurruins_thickwall_stairsup_01_c1r2.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_8,0,176585
7cf1709560924e22,kalguurruins_thickwall_stairsup_01_c1r2.tgm.header,Tiny_5,59730897,2198
278a469b52539a2e,kalguurruins_thickwall_stairsup_01_c1r1.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,2362616,15122
18578c8e56a2398a,kalguurruins_thickwall_stairsup_01_c1r1.tgm.header,Tiny_5,59729715,1182
d2563a6a5de06f12,kalguurruins_thickwall_door_01_c1r2.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,2162813,199803
1868b1c1e28a6720,kalguurruins_thickwall_door_01_c1r2.tgm.header,Tiny_5,59719387,1846
857c6e1ae75992e4,kalguurruins_thickwall_door_01_c1r1.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,2133348,29465
3d6a33d5e4acd6e8,kalguurruins_thickwall_door_01_c1r1.tgm.header,Tiny_5,59718113,1274
b86b7cb56d508f19,kalguurruins_thickwall_doorarena_01_c1r2.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,1932577,200771
6efccfd9fdf69860,kalguurruins_thickwall_doorarena_01_c1r2.tgm.header,Tiny_5,59723167,1934
176606f7e42eb94c,kalguurruins_thickwall_doorarena_01_c1r1.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,1888610,43967
166ed4c8fa887620,kalguurruins_thickwall_doorarena_01_c1r1.tgm.header,Tiny_5,59721233,1934
454fa80b04513de0,kalguurruins_thickwall_cv_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,1805917,82693
41ffc5ec3b4d2a5f,kalguurruins_thickwall_cv_01.tgm.header,Tiny_5,59714423,1230
25efbf853b9539e4,kalguurruins_thickwall_cvfire_lit_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,1723224,82693
8dc07271bd714b2e,kalguurruins_thickwall_cvfire_lit_01.tgm.header,Tiny_5,59716883,1230
eed7e58d564ef40a,kalguurruins_thickwall_cvfire_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,1640531,82693
e20b6c751a375caf,kalguurruins_thickwall_cvfire_01.tgm.header,Tiny_5,59715653,1230
865305054a636618,kalguurruins_thickwall_cc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,1437210,203321
dc9c7499dd386e4e,kalguurruins_thickwall_cc_01.tgm.header,Tiny_5,59698435,1010
31c06eba176c042f,kalguurruins_thickwall_ccarena_01_c3r3.tgm,Tiny_5,59714098,325
8a8c19abbe3cd9d4,kalguurruins_thickwall_ccarena_01_c3r3.tgm.header,Tiny_6,7826909,264
d59e2d39de77d5a7,kalguurruins_thickwall_ccarena_01_c3r2.tgm,Tiny_5,59712905,929
89a7890e071b5f2a,kalguurruins_thickwall_ccarena_01_c3r2.tgm.header,Tiny_5,59713834,264
434d922624ee2776,kalguurruins_thickwall_ccarena_01_c3r1.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,662431,774779
61b22b4fc5eb385a,kalguurruins_thickwall_ccarena_01_c3r1.tgm.header,Folders/art/models/terrain/templedungeon/tgms,312623,6026
cbde1ca10b903e3b,kalguurruins_thickwall_ccarena_01_c2r3.tgm,Tiny_5,59712144,497
992536a0418e336f,kalguurruins_thickwall_ccarena_01_c2r3.tgm.header,Tiny_5,59712641,264
f0d6f9ed34b31ccf,kalguurruins_thickwall_ccarena_01_c2r2.tgm,Tiny_5,59709659,2179
b51c8ff899acb457,kalguurruins_thickwall_ccarena_01_c2r2.tgm.header,Tiny_5,59711838,306
fba433407ef3ea47,kalguurruins_thickwall_ccarena_01_c2r1.tgm,Tiny_5,59706640,2713
4a73949e3ccfd911,kalguurruins_thickwall_ccarena_01_c2r1.tgm.header,Tiny_5,59709353,306
5818be2c95a4db2a,kalguurruins_thickwall_ccarena_01_c1r3.tgm,Tiny_5,59703807,2527
35a32bc84f73a7fc,kalguurruins_thickwall_ccarena_01_c1r3.tgm.header,Tiny_5,59706334,306
5dbc35ec5a4fa96d,kalguurruins_thickwall_ccarena_01_c1r2.tgm,Tiny_5,59700950,2551
12f554d9a2ffdc06,kalguurruins_thickwall_ccarena_01_c1r2.tgm.header,Tiny_5,59703501,306
61e3cfc3587b8bd4,kalguurruins_thickwall_ccarena_01_c1r1.tgm,Tiny_5,59699445,1241
d4d5bd40cd0414a4,kalguurruins_thickwall_ccarena_01_c1r1.tgm.header,Tiny_5,59700686,264
76a712036d2d7cbb,kalguurruins_thickwallstairs_stst_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,514112,148319
0db6c424fe962d1e,kalguurruins_thickwallstairs_stst_01.tgm.header,Tiny_5,59773946,1802
b2889eb43a4270cf,kalguurruins_thickwallstairs_cvst_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,384365,129747
a65fdde4024852c6,kalguurruins_thickwallstairs_cvst_01.tgm.header,Tiny_5,59766032,2638
9472cb8850551c6d,kalguurruins_thickwallstairs_cvstfire_lit_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,254618,129747
2fea3585eb4f88b5,kalguurruins_thickwallstairs_cvstfire_lit_01.tgm.header,Tiny_5,59771308,2638
7a78d09370910e23,kalguurruins_thickwallstairs_cvstfire_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,124871,129747
fc4dd266b5d5c384,kalguurruins_thickwallstairs_cvstfire_01.tgm.header,Tiny_5,59768670,2638
3091ba435f8b49b3,kalguurruins_thickwallstairs_cvcv_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_7,0,124871
aa74877898eb54c7,kalguurruins_thickwallstairs_cvcv_01.tgm.header,Tiny_5,59758646,2462
e4fa24245d66905f,kalguurruins_thickwallstairs_cvcvfire_lit_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,2214666,124871
0e4e4cd602e9e2be,kalguurruins_thickwallstairs_cvcvfire_lit_01.tgm.header,Tiny_5,59763570,2462
aeaf42b9fb8d7835,kalguurruins_thickwallstairs_cvcvfire_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,2089795,124871
46dc21ebf548ece9,kalguurruins_thickwallstairs_cvcvfire_01.tgm.header,Tiny_5,59761108,2462
ddb10b9b175b5b7a,kalguurruins_thickwallstairs_cvcc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,1983942,105853
792f0b3212e1c273,kalguurruins_thickwallstairs_cvcc_01.tgm.header,Tiny_5,59757152,1494
f1fecfa889bc8ea7,kalguurruins_thickwallledge_stst_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,1754637,229305
d81a8eb12c8030ec,kalguurruins_thickwallledge_stst_01.tgm.header,Tiny_5,59751964,2506
56ed2cb412688358,kalguurruins_thickwallledge_cvst_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,1496498,258139
a065ed46ce902656,kalguurruins_thickwallledge_cvst_01.tgm.header,Tiny_5,59749018,2946
e891301b76276b37,kalguurruins_thickwallledge_cvcv_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,1337249,159249
c6290d818c05aaf9,kalguurruins_thickwallledge_cvcv_01.tgm.header,Tiny_5,59746644,2374
ca54e140030ca130,kalguurruins_thickwallledge_cvcc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,1086254,250995
fddbd273c14dce69,kalguurruins_thickwallledge_cvcc_01.tgm.header,Tiny_5,59743874,2770
2fc03d0f8a304a33,kalguurruins_thickwallledgestairs_cvcc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,859717,226537
2942844ead238a7f,kalguurruins_thickwallledgestairs_cvcc_01.tgm.header,Tiny_5,59754470,2682
b464ac85ea4c09c9,kalguurruins_stairs_st_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,836454,23263
0c42fd1cd9970c5b,kalguurruins_stairs_st_01.tgm.header,Tiny_5,59694789,306
dc39df3967dc5440,kalguurruins_stairs_stledge_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,752173,84281
8c7985f726c994d8,kalguurruins_stairs_stledge_01.tgm.header,Tiny_5,59695095,1670
8e74d46a067b67e8,kalguurruins_stairs_stledgefire_lit_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,667892,84281
f5ccbfa79d45b6dc,kalguurruins_stairs_stledgefire_lit_01.tgm.header,Tiny_5,59696765,1670
a3f0365019f4c4a5,kalguurruins_stairs_stledgefire_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,583611,84281
08920437174e9a7c,kalguurruins_stairs_stledgefire_01.tgm.header,Tiny_5,59696765,1670
dad40ed9518ac481,kalguurruins_stairs_cv_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,560492,23119
98990b203270b8b2,kalguurruins_stairs_cv_01.tgm.header,Tiny_5,59694483,306
5de191dc2e1b18af,kalguurruins_stairs_cc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,541225,19267
4cf07547734ecd6d,kalguurruins_stairs_cc_01.tgm.header,Tiny_5,59694177,306
6be93b3bf01e877a,kalguurruins_sarcophagus_trapped_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,530886,10339
850a453b87fe56bd,kalguurruins_sarcophagus_trapped_01.tgm.header,Tiny_5,59693871,306
66ac84031a7b2e14,kalguurruins_sarcophagus_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,520547,10339
9cb31475d1f40e65,kalguurruins_sarcophagus_01.tgm.header,Tiny_5,59693565,306
da0cf0d8d6466eef,kalguurruins_pillar_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,510472,10075
d432d8c71cfc3ee3,kalguurruins_pillar_01.tgm.header,Tiny_5,59693259,306
9534a95215d5c34c,kalguurruins_ledge_st_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,382877,127595
418ca3d133a35eed,kalguurruins_ledge_st_01.tgm.header,Tiny_5,59686405,1142
3e32e1d5559fd59c,kalguurruins_ledge_ststairs_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,296518,86359
0f317ad98a82bd79,kalguurruins_ledge_ststairs_01.tgm.header,Tiny_5,59687547,1494
666af314ce2658b0,kalguurruins_ledge_cv_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,204949,91569
20c71a9a54ccc1fe,kalguurruins_ledge_cv_01.tgm.header,Tiny_5,59685219,1186
e37518ce94611e5b,kalguurruins_ledge_cc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_6,0,204949
a1b18cbccd6c7b50,kalguurruins_ledge_cc_01.tgm.header,Tiny_5,59683593,1626
6c7c96431e48e13d,kalguurruins_ledgestairs_st_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_5,1514821,102183
17aca197ed08c8eb,kalguurruins_ledgestairs_st_01.tgm.header,Tiny_5,59691941,1318
f3e1e9d5f1bc9050,kalguurruins_ledgestairs_stfire_lit_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_5,1412638,102183
5259007da13c5e65,kalguurruins_ledgestairs_stfire_lit_01.tgm.header,Tiny_5,59691941,1318
0de137acb6047f6f,kalguurruins_ledgestairs_stfire_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_5,1412638,102183
78405b480e1db474,kalguurruins_ledgestairs_stfire_01.tgm.header,Tiny_5,59691941,1318
64ff19f4889b043f,kalguurruins_ledgestairs_cv_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_5,1323339,89299
ffb36803104a4ad9,kalguurruins_ledgestairs_cv_01.tgm.header,Tiny_5,59690579,1362
1434929a68c2cf30,kalguurruins_ledgestairs_cc_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_5,1142848,180491
60993213a02bbf89,kalguurruins_ledgestairs_cc_01.tgm.header,Tiny_5,59689041,1538
16f10d94eb10d220,kalguurruins_floormedallion_small_01.tgm,Art/Models/Terrain/Leagues/Expedition/KalguurRuins_5,1094699,48149
c7844c1b24490cec,kalguurruins_floormedallion_small_01.tgm.header,Tiny_5,59683243,350
