hash,file,bundle,offset,size
d787a0961532719f,azuritecns.mat,Tiny_6,114956270,9044
2aad3c4142e04b6a,azurite_normal.mat,Tiny_6,114955032,1238
13af09ce1d4e0a58,azurite_normal.dds,Folders/art/particles/monster_particles/league_delve_B,372252,87556
4cf43dc35491729f,azurite_normal.dds.header,Tiny_7,23451913,1520
8ef422208e1c568c,azurite_colour.dds,Folders/art/particles/monster_particles/league_delve_4,43876,87556
e7f845d410c3bdd2,azurite_colour.dds.header,Tiny_6,114953512,1520
a3733d27bb6252ae,azurite_adda.mat,Tiny_6,114952286,1226
c3b46ec8a15a6a3f,azurite_adda.dds,Folders/art/particles/monster_particles/league_delve_4,218988,87556
95d6815fde5f6691,azurite_adda.dds.header,Tiny_6,114950766,1520
5bd1dd223d90b4f9,azuritens.dds,Folders/art/particles/monster_particles/league_delve_4,131432,87556
9c6f718e2494599e,azuritens.dds.header,Tiny_6,114965314,1520
