hash,file,bundle,offset,size
c7a8955696ebade4,snow_spark.mat,Tiny_7,12537609,1756
1b498777ef4a2c7e,snow_spark.dds,Tiny_7,12534549,1540
9cc7395cae482362,snow_spark.dds.header,Tiny_7,12536089,1520
a26b408fb9f949a8,snow_explosion.mat,Tiny_7,12531859,2690
a48456c87fc63188,snow_explosion.dds,Art/particles/heralds/purple,2230852,22020
736fdbe73f0f9e21,snow_explosion.dds.header,Tiny_7,53065866,1520
bda5be6bd576d30b,shockwavering_alf.mat,Tiny_7,12529775,2084
feb468248fc43c94,shockwavering_alf.dds,Art/particles/monster_particles/League_Incursion_18,1379406,87556
11a4cad25a7b7a96,shockwavering_alf.dds.header,Tiny_7,24238991,1520
5a15cc843c270b0b,black_grad.mat,Tiny_7,12528023,1752
4eeff1efcaf4e267,black_grad.dds,Folders/art/particles/monster_particles/atlasexiles_6,219152,87556
d3fd93aee025f60e,black_grad.dds.header,Tiny_7,43293904,1520
81c17252b74ba23e,alpha_basens.dds,Folders/art/particles/detonate_dead_v2/vaal_marker,0,349700
eb10cb42bdc6138c,alpha_basens.dds.header,Tiny_7,13029517,1520
3eb5f11c50304657,alpha_base.mat,Art/particles/monster_particles/League_Incursion_18,1740574,5262
ef7973397b09cfc7,alpha_base.dds,Art/particles/monster_particles/League_Incursion_18,1653018,87556
ffc1087d93526a46,alpha_base.dds.header,Tiny_7,23598427,1520
