hash,file,bundle,offset,size
8c4288a2fb0ff5ff,mist_poison.mat,Tiny_7,34149950,2666
e14c6921d4ea68ba,nuke_base_add.mat,Tiny_7,34152616,4768
0ac1a5bf2e75ed8d,rocks.mat,Tiny_7,41429047,3822
fd64d62be135ea6f,wave_trail.mat,Tiny_7,34203384,3994
bb6ad3c3cc4b37da,wisp.mat,Tiny_7,34207378,4514
cd5e5993bb0cdff1,venom_wisps.mat,Tiny_7,34660730,3218
8158b2936ef9d311,venom_wisps_dxt5.dds,Art/Microtransactions/spell/mirage_strike_2,0,87556
999431587564c5a0,venom_wisps_dxt5.dds.header,Tiny_8,29733932,1520
df7d628b41cf9643,trail_projectile_at.mat,Tiny_7,34199962,3422
534214f0d13a51d1,trail_projectile_at_dxt5.dds,Folders/art/particles/masters/ninjacop_1,656244,87556
89f83c54a097a673,trail_projectile_at_dxt5.dds.header,Tiny_7,53681631,1520
5271ab85919ff6f5,scale_glint.mat,Tiny_7,34181734,4642
44b8f7846c0a9943,suck01_8x8.mat,Tiny_7,34194716,5246
e5d50a9044f1a2bd,splash.mat,Tiny_7,34190006,3190
d266e4163496f98d,splash_dxt5.dds,Folders/art/particles/nenet_arrow,442892,87556
2476c09f758b0225,splash_dxt5.dds.header,Tiny_7,34193196,1520
80407d0e9160647a,sphere_webc.mat,Tiny_7,35509806,4862
5e8de3bb2ec63b3d,sphere_web.dds,Folders/art/particles/monster_particles/skeleton,1246172,43852
57a11d4fa77db9aa,sphere_web.dds.header,Tiny_8,12902072,1520
e6bb5e611eefb081,sparkling_spark.mat,Tiny_7,34188306,1700
cac81652240bbc0e,sparkling_spark_dxt2.dds,Tiny_7,58001442,1572
c4a2f8c30742c918,sparkling_spark_dxt2.dds.header,Tiny_7,58003014,504
dc194d0f6b191036,shockwave.mat,Tiny_7,34186376,1930
8a4d9f8fe804afd6,shockwave_dxt5.dds,Art/particles/monster_particles/League_Legion_51,1402710,87556
afd61349ac09caf6,shockwave_dxt5.dds.header,Tiny_7,57891780,1520
649131daad326592,sandburstlight.mat,Tiny_7,34178744,2990
d4e35ea6ef2de13a,sandburstlight_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,1530928,87556
308fb93b2082721d,sandburstlight_dxt5.dds.header,Tiny_6,109148852,1520
adb10c8e6001e1fc,p_blast_03.mat,Tiny_7,34157384,14010
1a09e64aae18c0b1,purple_ringfire.mat,Tiny_7,34175020,2204
4f67180907ce3367,purple_ringfire_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,1443372,87556
abdeb7480a223619,purple_ringfire_dxt5.dds.header,Tiny_7,34177224,1520
66f2ee5456514852,projectile_orb_at.mat,Tiny_7,34171394,2106
44f468f8184571d2,projectile_orb_at_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,1355816,87556
e812cc04bfb53b4c,projectile_orb_at_dxt5.dds.header,Tiny_7,53680111,1520
6f265b3a3f774123,projectile_orb_at_dxt1.dds,Folders/art/particles/monster_particles/leagueharvest_A1,1311964,43852
b3273c7d4964404c,projectile_orb_at_dxt1.dds.header,Tiny_7,34173500,1520
cf04814d5f80f7f2,projectile_orb_at_bc1.dds,Folders/art/particles/monster_particles/leagueharvest_A1,1311964,43852
0312fa736e194b15,projectile_orb_at_bc1.dds.header,Tiny_7,34173500,1520
d6d5e71177d1beba,light_grad_black.mat,Tiny_7,34148240,1710
f5dce607fcad514d,light_grad_black_dxt5.dds,Art/particles/monster_particles/League_Abyss_10,415596,22020
04081f4b550fc239,light_grad_black_dxt5.dds.header,Tiny_7,41320205,1520
e7dfa7afca516210,leaves_at.mat,Tiny_7,34142398,1802
fe81aff51e2f3b32,leaves_at_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,1137016,174948
587ee0a04b646562,leaves_at_dxt5.dds.header,Tiny_7,34147400,840
e5c60602386ec9bf,leaves_at_01.mat,Tiny_7,34144200,1680
9d214bbb0402901a,leaves_at_01_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,787316,349700
81c9ba77b715c342,leaves_at_01_dxt5.dds.header,Tiny_7,34145880,1520
ec777bbd21cd37ac,lava_dots.mat,Tiny_7,34140040,2358
c37eff1286957eaf,lava_dots_dxt5.dds,Art/Microtransactions/Aura/fireresist_aura,5636,22020
c6747fb9aabcc21c,lava_dots_dxt5.dds.header,Tiny_7,38780802,1520
4496e9f42204a775,ice_impact.mat,Tiny_7,34137282,2758
943f969206f8c7d6,ice_impact_dxt5.dds,Folders/art/particles/monster_particles/league_affliction_F,7362548,87556
2d64f639e47cc63d,ice_impact_dxt5.dds.header,Tiny_6,99818117,1520
44da5610e983440a,ground_bits.mat,Tiny_7,34132590,4692
2cc180127d683fc4,grd_glow_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,437616,349700
3f053b89afe07b47,grd_glow_dxt5.dds.header,Tiny_7,34131070,1520
a403feab689fd82a,fill_splat_test.mat,Tiny_7,34126722,2828
d9d7bbcb401ab4f8,fill_splat_test_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,350060,87556
f6f64ecc45c8edc7,fill_splat_test_dxt5.dds.header,Tiny_7,34129550,1520
6a40ec05f3cabeb7,dustimpact_8x8.mat,Tiny_7,34123782,2940
4d5a38f20deed141,drop_spit.mat,Tiny_7,34118500,2222
33e4ac531f447df1,drop_spit_dxt5.dds,Tiny_7,34120722,1540
ec7cde6c6e184594,drop_spit_dxt5.dds.header,Tiny_7,34122262,1520
0b034e2608b563c4,dark_light_grad.mat,Tiny_7,34116174,2326
bc20249a36946bbb,dark_light_grad_dxt5.dds,Folders/art/particles/monster_particles/lightning_elemental,87556,87556
18513d1f57ba8233,dark_light_grad_dxt5.dds.header,Tiny_7,24151815,1520
9239822e9cff6fe2,cold_wisp.mat,Tiny_7,34557986,3460
c135fb9ed1d66be7,cold_wisp_dxt5.dds,Art/particles/weapon_hit_fx/elemental_powerups,0,5592580
445ecf335e3a0b69,cold_wisp_dxt5.dds.header,Tiny_7,59697001,1520
0c71cf9214e7540b,coldtrail.mat,Tiny_7,34110744,5430
874faf48623cc863,coldtrail_dxt5.dds,Folders/art/microtransactions/weapon_effects/lich_new,612564,87556
ed76240f1a74cb10,coldtrail_dxt5.dds.header,Tiny_7,40551801,1520
253942848434d7e0,claw_trail.mat,Tiny_7,34107438,2466
47afd3179d40a93f,claw_trail_dxt5.dds,Folders/art/particles/monster_particles/leagueharvest_A1,175112,174948
ed1f1df3ac88f71f,claw_trail_dxt5.dds.header,Tiny_7,34109904,840
c6bdd1e4f832fc5d,blue_lens_flare.mat,Tiny_7,34553700,2126
c7ebf8461a08bb00,blue_lens_flare_dxt5.dds,Folders/art/particles/monster_particles/league_affliction_9,1426604,174948
bd09d587f1ccddd7,blue_lens_flare_dxt5.dds.header,Tiny_7,5412827,840
8848fac9d7e3e3de,blood_trail.mat,Tiny_7,34101354,2750
3af7bbf876550fdb,blood_drip.mat,Tiny_7,34098554,2800
b9d91e46406a53ad,blood_drip_dxt5.dds,Folders/art/particles/monster_particles/league_legion_71,852852,22020
