hash,file,bundle,offset,size
1276efa80d80786c,zenitharmour.dds,Folders/art/textures/interface/2d/shop/BA/2dart_2,0,160532
bcf08613ba6d4fc3,zenitharmour.dds.header,Tiny_8,619588,1288
5d79cd3697c17205,stash-tab.dds,Folders/art/textures/interface/2d/shop/BA/2dart_2,160532,162996
4508c94b0be3a47c,stash-tab.dds.header,Tiny_8,618300,1288
bf80708808c0cf47,9.dds,Folders/art/textures/interface/2d/shop/87/2dart,0,2473060
df4ec4cd45773b22,9.dds.header,Tiny_8,613588,4712
9f169ad95002bce5,8.dds,Folders/art/textures/interface/2d/shop/C1/2dart,2184188,2473060
1dda83cfeded8fbc,8.dds.header,Tiny_8,608876,4712
7ea1f8396421e428,7.dds,Folders/art/textures/interface/2d/shop/97/2dart_1,0,2473060
8eb9d5a8b767da15,7.dds.header,Tiny_8,604164,4712
00b0d98eb1c94e5b,6.dds,Folders/art/textures/interface/2d/shop/8A/2dart_2,0,2473060
487d7858e7c11ebb,6.dds.header,Tiny_8,599452,4712
5a29c8e6442bad92,5.dds,Folders/art/textures/interface/2d/shop/0D/2dart_1,0,2473060
edd6c66f9a27017a,5.dds.header,Tiny_8,594740,4712
3c4c01cdd2e8ab5a,4.dds,Folders/art/textures/interface/2d/shop/77/2dart,0,2473060
c4db509fb1ceb60c,4.dds.header,Tiny_8,590028,4712
bcbd37607baf8e1a,3.dds,Folders/art/textures/interface/2d/shop/16/2dart,0,2473060
bc8e9f522c51ff56,3.dds.header,Tiny_8,585316,4712
4abb67be6a3f429d,20.dds,Folders/art/textures/interface/2d/shop/A2/2dart_1,0,1486476
b2d82958da9f4f30,20.dds.header,Tiny_8,582500,2816
96084e0690a78d99,2.dds,Folders/art/textures/interface/2d/shop/F5/2dart,82284,2184188
cba118259eb131f7,2.dds.header,Tiny_8,578276,4224
0689d7ecd3f9a4b0,19.dds,Folders/art/textures/interface/2d/shop/8A/2dart,0,2473060
204c21ead40ed321,19.dds.header,Tiny_8,573564,4712
0096c5d31e25d6f4,18.dds,Folders/art/textures/interface/2d/shop/99/2dart_1,0,2473060
b68c68bf636450c9,18.dds.header,Tiny_8,568852,4712
5792d1c01900405f,17.dds,Folders/art/textures/interface/2d/shop/D2/2dart,0,2473060
15facb73009fb4ec,17.dds.header,Tiny_8,564140,4712
4bb6fb73223645a4,16.dds,Folders/art/textures/interface/2d/shop/80/2dart,0,2473060
f73c5ed5b3f3be97,16.dds.header,Tiny_8,559428,4712
a4e53f4b35953b6c,15.dds,Folders/art/textures/interface/2d/shop/C2/2dart,0,2473060
7bd9f06073107706,15.dds.header,Tiny_8,554716,4712
f8b390625cbd71f5,14.dds,Folders/art/textures/interface/2d/shop/DC/2dart,0,2473060
832ed58aa904ff4c,14.dds.header,Tiny_8,550004,4712
ad58e36b27806380,13.dds,Folders/art/textures/interface/2d/shop/39/2dart,0,2473060
15b3c1d46197c0a7,13.dds.header,Tiny_8,545292,4712
109fb837ee313eb9,12.dds,Folders/art/textures/interface/2d/shop/58/2dart,0,2473060
d4d4a2bcadfb41c9,12.dds.header,Tiny_8,540580,4712
7f801f0a47efd319,11.dds,Folders/art/textures/interface/2d/shop/88/2dart,0,2473060
cc8ba56a19579a9e,11.dds.header,Tiny_8,535868,4712
29b0c93cab4628e6,10.dds,Folders/art/textures/interface/2d/shop/4F/2dart,0,2473060
787283454df7191a,10.dds.header,Tiny_8,531156,4712
d100012057aa2224,1.dds,Folders/art/textures/interface/2d/shop/0B/2dart,0,2184188
596a622415a0bc12,1.dds.header,Tiny_8,526932,4224
