hash,file,bundle,offset,size
7a7058b2a6a11a5b,fx_callc.mat,Tiny_8,30788306,3682
aa98a856c88d625d,pandemoniumportalc.mat,Tiny_8,30796548,3178
9413db5f1381bb92,pandemoniumportalfxc.mat,Tiny_8,30799726,1124
b3c13c299e2c2d9a,pandemoniumportal_normal_dxt5.dds,Art/Textures/Misc/portals/PandemoniumPortal_1,0,1398276
4ae310d73fc567f4,pandemoniumportal_normal_dxt5.dds.header,Tiny_8,30795028,1520
837695e331906781,pandemoniumportal_colour_dxt5.dds,Art/Textures/Misc/portals/PandemoniumPortal_2,0,1398276
1029f646cb46a500,pandemoniumportal_colour_dxt5.dds.header,Tiny_8,30793508,1520
417e38c250e42517,pandemoniumportal_colour_bc7.dds,Art/Textures/Misc/portals/PandemoniumPortal_2,0,1398276
4b9b76f72f10b81d,pandemoniumportal_colour_bc7.dds.header,Tiny_8,30793508,1520
787ff9a3e223f0d5,pandemoniumportal_colour.dds,Art/Textures/Misc/portals/PandemoniumPortal,0,699212
dd0bb95e353c384b,pandemoniumportal_colour.dds.header,Tiny_8,30791988,1520
