hash,file,bundle,offset,size
5a8ccd9465c1f88d,templarreaperbossdivine.ao,Tiny_E,146273565,135006
7c55e04204277f50,templarreaperboss_fellshrine.act,Tiny_E,146270353,818
8e95ee06180e043e,templarreaperboss_fellshrine.ot,Tiny_E,146271171,2394
5e9e21fdae6fbbd6,templarreaperboss.ot,Tiny_E,146268087,2266
09f25ac0998eeb2d,templarreaperboss.act,Tiny_E,146104615,828
1bdf7b82e87ea75c,templarreaperboss.ao,Tiny_E,146105443,162644
fdae4f05ed3b5a69,sentinelunarmedboss.ot,Tiny_E,146101719,2896
f5053baacea8599b,sentinelunarmedboss.act,Tiny_E,146055747,748
6d897f5433a7a5e1,sentinelunarmedboss.ao,Tiny_E,146056495,45224
362d8ec7d3bc448f,sentinelmaceboss.ot,Tiny_E,146052559,3188
48e90044a27caf0a,sentinelmaceboss.act,Tiny_E,145996371,1342
7135b796c472381f,sentinelmaceboss.ao,Tiny_E,145997713,54846
9f02c7e84dc99e17,sanctumbossbase.ot,Tiny_E,145995107,664
f0f98758695b8555,sanctumminibossbase.ot,Tiny_E,145995771,600
f275c672c1c39a49,purifierbossatlasuber.ot,Tiny_E,145994883,224
3f42212ea3366c17,purifierboss.ot,Tiny_E,145994523,360
2a804d83b8b686e2,purifierboss.act,Tiny_E,145915537,1178
1633252e9ffa368d,purifierboss.ao,Tiny_E,145916715,77808
5fc35806c4c0b3ab,lyciaboss.ot,Tiny_E,145878311,5420
697058b0352f30fb,lyciaboss.act,Tiny_E,145779973,1550
a81af3ddee67e4f4,lyciaboss.ao,Tiny_E,145781523,96788
fecba0a6f32777d0,lycia2bossemerge.ot,Tiny_E,145562201,4444
a5d6ac43e4e3bc2a,lycia2bossstaffblade.ao,Tiny_E,145679137,522
9011ef5211132c60,lycia2bossteaser.ao,Tiny_E,145679659,100314
6e007c21df5c8d53,lycia2bossmapstandalone.ot,Tiny_E,145674313,4824
a4d244339fa9907a,lycia2bossmap.ot,Tiny_E,145669569,4744
dc1c97e541b07604,lycia2bossmap.act,Tiny_E,145566645,1876
20628791ed646181,lycia2bossmap.ao,Tiny_E,145568521,101048
fba3cce2e58114a3,lycia2boss.ot,Tiny_E,145557135,5066
e7bb5caf5d57a94c,lycia2boss.act,Tiny_E,145455015,1870
b5288050a474e712,lycia2boss.ao,Tiny_E,145456885,100250
f3e407acffd55cb9,lithomancerboss.ot,Tiny_E,145452383,2632
40c9a7fc601dc43a,lithomancerboss.act,Tiny_E,145402033,2090
69710d1137cc5a1d,lithomancerboss.ao,Tiny_E,145404123,48260
a027b8e7f6c66c42,gargoyleboss.ot,Tiny_E,145392957,9076
178b3b5ac22802f4,gargoyleboss.act,Tiny_E,145321671,792
c0efbe7844e35674,gargoyleboss.ao,Tiny_E,145322463,70494
a9d83f0a4ce2a003,crimsonpriestclone.ao,Tiny_E,145270503,46014
ae26307476230446,crimsonpriestclone.ot,Tiny_E,145316517,5154
37672d31a4518e4e,crimsonpriest.ao,Tiny_E,145209961,57418
0a7fa47b89b07fe1,crimsonpriest.ot,Tiny_E,145267379,3124
330d97b44617ca35,burnboss.ot,Tiny_E,145204003,5958
ff6a251dec0a8bb0,burnboss.act,Tiny_E,145170615,2210
8bfd58708da0592a,burnboss.ao,Tiny_E,145172825,31178
