hash,file,bundle,offset,size
e542278c4340292d,driedlake_encounterlocator.ot,Tiny_11,143889098,192
bfb3af8fbe19c916,obeliskactiveaudio.ao,Tiny_11,143915952,1266
0036ad4a5d95838a,legionflashlight.ot,Tiny_11,143891724,980
b0249ca8b6908a5e,legiongeneralindicator.ot,Tiny_11,143892704,620
3db343d427621a3e,legioninitiator.ot,Tiny_11,143893324,14132
4c8a9027ae9883c0,legionpillarofdestiny.ot,Tiny_11,143915334,618
715779c1e4018f3c,legion_encounterlocator.ot,Tiny_11,143889098,192
e86d67fbee720b72,legionobelisk.ao,Tiny_11,143907456,4948
bcf92a19e6bba2dc,legionobelisk_ao_pass0.mat,Tiny_11,143912404,2930
825ede5b34df40c7,legionendgame_encounterlocator.ot,Tiny_11,143889098,192
b667da505a524539,legionendlessinitiator.ot,Tiny_11,143889706,2018
74bbb68d07b79374,firsttimelegion_encounterlocator.ot,Tiny_11,143889098,192
c3d0a93b50a26d74,forcedlegioninitiator.ot,Tiny_11,143889290,416
