hash,file,bundle,offset,size
8b88b8700c1f770a,slavrunes_gold.mat,Tiny.VF,5670049,3500
42c3801d2d84895b,slavrunes_gold.dds,Streaming/Content/metadata/effects/microtransactions/spells/B91C13408901A601.nova_circular.trl,87556,87588
25e4031c082659ac,slavrunes_gold.dds.header,Tiny.V5,5625537,504
4122f70bb17550a0,gold_spark_by_deadened_glow-d4d2c9e.mat,Tiny.V1,5645421,1570
d45e7ad43211d585,gold_spark_by_deadened_glow-d4d2c9e.dds,Streaming/Content/metadata/effects/microtransactions/spells/B91C13408901A601.nova_midup.pet,349700,1398276
4e9185f358f58ed9,gold_spark_by_deadened_glow-d4d2c9e.dds.header,Tiny.V6,5630790,1520
4e10e4bc61065249,gold_galaxy.dds,Streaming/Content/metadata/effects/microtransactions/spells/B91C13408901A601.nova_circular.trl,0,87556
761867a755d8f003,gold_galaxy.dds.header,Tiny.VF,6525623,1520
c6ab7d7581bbea78,2018-06-19.mat,Tiny.V1,5644027,1394
f0f8c4c94420d536,2018-06-19_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/spells/B91C13408901A601.nova_midup.pet,0,349700
054b09502e5a0a1e,2018-06-19_dxt5.dds.header,Tiny.V0,5835872,1520
85be5baa3899398e,ring_rune_dxt5.dds,Streaming/Content/metadata/effects/microtransactions/aura/3AC103500CCBE909.surge_cyl.pet,0,349700
3d9e0743145cd742,ring_rune_dxt5.dds.header,Tiny.V9,5720414,1520
