hash,file,bundle,offset,size
5e40906b44832733,courtlydiscord.sm,Tiny.V5,10795922,618
b8c5514925c1215d,courtlydiscorddrop_099ab337.smd,Streaming/Content/metadata/items/weapons/onehandweapons/1A73E6197169A6E7.5F634400A30F719F.courtlydiscorddrop.ao,0,407289
e12cda593fb80cde,courtlydiscorddrop_099ab337.smd.header,Tiny.VA,11007609,368
3ab634316aff7be7,courtlydiscorddrop.sm,Tiny.V8,10938190,636
4e85a5ac555ddd65,courtlydiscorddrop.amd,Tiny.V5,10796540,226
26afac9956b6bd12,courtlydiscorddrop.ast,Tiny.VC,10839653,2304
f52224793d64bcb7,rig_22abcdfd.smd,Streaming/Content/metadata/items/weapons/onehandweapons/1A73E6197169A6E7.5F634400A30F719F.courtlydiscorddrop.ao,407289,489397
6620daac3e23e2da,rig_22abcdfd.smd.header,Tiny.V4,11095596,368
694d57355abb3227,rig.amd,Tiny.V6,11936834,134
74ac8789aa355435,rig.ast,Tiny.VA,11007977,1302
