hash,file,bundle,offset,size
c68f850d25b4b88d,pongatilingc.mat,Tiny.V3,19099087,2612
4288c1d5ae434c66,pongatiling_height_bc4.dds,Streaming/Content/metadata/terrain/doodads/islands/D05975759C99E844.F3333A9280451C2C.karuihutconstructions02.ao.1,0,174924
932e37c6c5c6f7d5,pongatiling_height_bc4.dds.header,Tiny.VB,19232262,1520
6af10298bba0e893,pongatiling_normal_bc7.dds,Streaming/Content/metadata/terrain/doodads/islands/D05975759C99E844.F3333A9280451C2C.karuihutconstructions02.ao.1,174924,5592580
edba847f5c3f4dda,pongatiling_normal_bc7.dds.header,Tiny.VD,18908358,1520
ff86b7ffd95ee322,pongatiling_colour_bc1.dds,Streaming/Content/metadata/terrain/doodads/islands/D05975759C99E844.F3333A9280451C2C.karuihutconstructions02.ao,585986,2796364
35021689f4bd373c,pongatiling_colour_bc1.dds.header,Tiny.V4,19595466,1520
4579d7815cbfd699,tro_hellsbells02c.mat,Tiny.VA,19328326,3336
e69d761ef5d3a36f,tro_hellsbells02_normal_bc7.dds,Streaming/Content/data/worldareas/F9/hideoutshoreline.vworld,0,5592580
773f7ac2ba2c3f95,tro_hellsbells02_normal_bc7.dds.header,Tiny.V0,19430791,1520
ae6a0af725b7d9a9,tro_hellsbells02_colour_bc1.dds,Streaming/Content/data/worldareas/DB/hideoutshoreline.vworld,0,2796364
977e2730dce78bb3,tro_hellsbells02_colour_bc1.dds.header,Tiny.V2,19416145,1520
85e3244aa5e8ef67,tro_hellsbells01c.mat,Tiny.V1,19160047,3336
33bf9288dd285822,tro_hellsbells01_normal_bc7.dds,Streaming/Content/data/worldareas/19/hideoutshoreline.vworld,0,5592580
b4463110327fd0fa,tro_hellsbells01_normal_bc7.dds.header,Tiny.VF,19480830,1520
d4a9c1b9aed850b5,tro_hellsbells01_colour_bc1.dds,Streaming/Content/data/worldareas/96/hideoutshoreline.vworld,101505,2796364
f6b91e69a52e35fd,tro_hellsbells01_colour_bc1.dds.header,Tiny.VC,19169349,1520
a6091fb5c9aade3c,tro_coralprops01c.mat,Tiny.VC,19166013,3336
58159730888648a0,tro_coralprops01_normal_bc7.dds,Streaming/Content/data/balance/worldareas/0C/maphideoutshoreline_claimable.vworld,0,5592580
1f8dc1c15ef06871,tro_coralprops01_normal_bc7.dds.header,Tiny.V7,19168866,1520
872d9f2a68f27c70,tro_coralprops01_colour_bc1.dds,Streaming/Content/data/worldareas/89/hideoutshoreline.vworld,0,2796364
0103d9cac91f38b2,tro_coralprops01_colour_bc1.dds.header,Tiny.V9,19517315,1520
626750c031eb7a2c,tro_pungalogs01c.mat,Tiny.V8,19350327,6692
a3519c96b8062d38,tro_pungalogs01_normal_bc7.dds,Streaming/Content/metadata/terrain/doodads/foliage/9D0AAF7963F20B83.largegardendoodad01.ao.6,0,5592580
5d5aa30d735b3b66,tro_pungalogs01_normal_bc7.dds.header,Tiny.V1,19163383,1520
52bc4cab177cf8e2,tro_pungalogs01_colour_bc1.dds,Streaming/Content/metadata/terrain/doodads/islands/D05975759C99E844.E12BD911A3C58012.whareruin_01.ao.1,0,2796364
08ff5c847c914a1c,tro_pungalogs01_colour_bc1.dds.header,Tiny.VD,18909878,1520
bebfc00ce3b6a195,tro_seashellsc.mat,Tiny.V6,19215752,2412
de3add4283f7bc64,tro_seashells_normal_dxt5.dds,Streaming/Content/data/worldareas/D7/expeditionlogbook_reef.vworld,0,5592580
1b9b1fb51f09f750,tro_seashells_normal_dxt5.dds.header,Tiny.V2,19419185,1520
ad9e9731102d0628,tro_seashells_colour_dxt1.dds,Streaming/Content/data/worldareas/86/expeditionlogbook_reef.vworld,0,2796364
5684bce78e356f5f,tro_seashells_colour_dxt1.dds.header,Tiny.V2,19417665,1520
97fbd151ae8567cb,tro_smoothstonesalpha01c.mat,Tiny.VD,18911398,3074
141c973170c1725b,tro_smoothstonesalpha01_height_bc4.dds,Streaming/Content/data/worldareas/expeditionlogbook_atoll.vworld.1,20103874,2796364
7a270795eafa8d14,tro_smoothstonesalpha01_height_bc4.dds.header,Tiny.V2,19420705,1520
b1325f14fc89d021,tro_smoothstonesalpha01_normal_bc7.dds,Streaming/Content/data/worldareas/expeditionlogbook_atoll.vworld.1,22900238,5592580
d3b90ede2e23da8a,tro_smoothstonesalpha01_normal_bc7.dds.header,Tiny.V9,19518835,1520
82aaf98e9a91fbbe,tro_smoothstonesalpha01_colour_bc1.dds,Streaming/Content/data/worldareas/expeditionlogbook_atoll.vworld.1,17307510,2796364
46eca3b134b6c0ff,tro_smoothstonesalpha01_colour_bc1.dds.header,Tiny.V5,19051722,1520
