hash,file,bundle,offset,size
e179a623a11de0f7,vaalurn04c.mat,Tiny.VD,22681847,2100
4732a130256168fc,vaalurn04_normal_dxt5.dds,Streaming/Content/metadata/terrain/doodads/jungle/6DC1E369D18F8137.snakepitpropscargo14.ao.1,0,5592580
35befa2b249781b0,vaalurn04_normal_dxt5.dds.header,Tiny.V5,22377681,1520
4bcaaa1fe3259902,vaalurn04_colour_dxt1.dds,Streaming/Content/metadata/terrain/doodads/jungle/6DC1E369D18F8137.snakepitpropscargo14.ao,0,2796364
d6aabeffb61e39e8,vaalurn04_colour_dxt1.dds.header,Tiny.V0,23058102,1520
ecd6df6ff357f295,vaalurn02c.mat,Tiny.VD,22679747,2100
868715743e1af5fe,vaalurn02_normal_dxt5.dds,Streaming/Content/data/balance/worldareas/4F/g3_10.vworld,0,5592580
47ceee3a4be10962,vaalurn02_normal_dxt5.dds.header,Tiny.V5,22374061,1520
41526f39815cfe8b,vaalurn02_colour_dxt1.dds,Streaming/Content/data/balance/worldareas/ED/g3_10.vworld,0,2796364
fb8a42b49df6a0b7,vaalurn02_colour_dxt1.dds.header,Tiny.V4,23084941,1520
11f030846675e0e7,vaalurn03c.mat,Tiny.V5,22375581,2100
4a6e3608435e0b38,vaalurn03_normal_dxt5.dds,Streaming/Content/metadata/terrain/doodads/jungle/5EA031CFAF146276.4D083588D887AB09.experimentshelf_01.ao.4,0,5592580
f1cbbd7e41e2e77b,vaalurn03_normal_dxt5.dds.header,Tiny.VA,22946486,1520
50e040ff5c5e5e79,vaalurn03_colour_dxt1.dds,Streaming/Content/metadata/terrain/doodads/jungle/5EA031CFAF146276.4D083588D887AB09.experimentshelf_01.ao.3,0,2796364
60009cf9c6e819a3,vaalurn03_colour_dxt1.dds.header,Tiny.V8,22933805,1520
f9feb3d9ede2c3f3,vaalurn01c.mat,Tiny.V7,22751789,2100
e55730a3e2217a5d,vaalurn01_normal_dxt5.dds,Streaming/Content/metadata/terrain/doodads/jungle/5EA031CFAF146276.4D083588D887AB09.experimentpot_01.ao.3,0,5592580
a1cfd015974f203c,vaalurn01_normal_dxt5.dds.header,Tiny.V9,23140350,1520
9d2d6d71254f5fe7,vaalurn01_colour_dxt1.dds,Streaming/Content/metadata/terrain/doodads/jungle/5EA031CFAF146276.4D083588D887AB09.experimentpot_01.ao.2,0,2796364
f470b937450b99e3,vaalurn01_colour_dxt1.dds.header,Tiny.VD,22678227,1520
