hash,file,bundle,offset,size
02bbc997e56c55f8,dave_angry_visitor_c_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,625718,19406
fd1c3f7a8aafc69e,dave_angry_visitor_c_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,645124,24129
d234dcd9d686ba3b,dave_angry_visitor_c_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,669253,26768
a96bb6bd545086b2,dave_angry_visitor_b_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,546797,22134
da97796b0f2102a7,dave_angry_visitor_b_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,568931,27135
d2ca39648f539e14,dave_angry_visitor_b_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,596066,29652
637e6d8f02d8c3ae,dave_angry_visitor_a_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,493018,27862
aeca5c6ec8a09076,dave_angry_visitor_a_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,520880,25917
b7f57453e9473ed4,dave_angry_visiting_c_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,366082,41216
9e1dd1feaf0be418,dave_angry_visiting_c_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,407298,41782
2034ad6e3b7c13f6,dave_angry_visiting_c_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,449080,43938
ecc7e5d629cb5b58,dave_angry_visiting_b_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,298875,33281
f5c0a49b0c713607,dave_angry_visiting_b_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,332156,33926
631326791544abe4,dave_angry_visiting_a_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,195696,33865
eda01981c8effb75,dave_angry_visiting_a_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,229561,35331
3fca956ac0553275,dave_angry_visiting_a_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,264892,33983
6fb78c61781ba36d,dave_angry_uniquedrop_d_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,133220,17963
18436935ecce4461,dave_angry_uniquedrop_d_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,151183,22877
003fd4f0138a2cc7,dave_angry_uniquedrop_d_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,174060,21636
6797565b9b4aecf1,dave_angry_uniquedrop_c_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,74104,19345
c685741dcd97fe46,dave_angry_uniquedrop_c_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,93449,20640
1442df7ec9fba1b9,dave_angry_uniquedrop_c_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,114089,19131
f5f5f373cee85706,dave_angry_uniquedrop_b_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,0,23413
ad8b642372742dde,dave_angry_uniquedrop_b_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,23413,25456
aaed89860c75496c,dave_angry_uniquedrop_b_03.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.5,48869,25235
f8ef1a286c8d2681,dave_angry_uniquedrop_a_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.4,2155930,25389
f2c2ece0ec69d7d5,dave_angry_uniquedrop_a_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.4,2181319,30892
611cb17a172aef87,dave_angry_trade_f_01.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.4,2087120,30825
12433582800c4a3f,dave_angry_trade_f_02.ogg,Streaming/Folders/audio/dialogue/4.0/mtx.4,2117945,37985
