hash,file,bundle,offset,size
f3a1c90eb1cfdce4,sparks_02_r.mat,Tiny.VE.1,66337558,30238
76d84f35f4ced807,sparks_02_u.mat,Tiny.V2.1,67283142,17616
9f22bceef039d570,dropbolt_01_r.mat,Tiny.VB.1,63765054,30150
4ebbeb5505dfd08d,dropbolt_01_u.mat,Tiny.V0.1,68786732,7158
278dbe2eccc0abbe,ambient_poison_drops_u.mat,Tiny.V1.1,63297084,7824
290853f83b23e5ec,ambient_snow_u.mat,Tiny.V2.1,66941818,19190
738d79547adbc6f3,ambient_embers_01_r.mat,Tiny.V3.1,64185252,35836
a55c79583be755f7,ambient_embers_01_u.mat,Tiny.VC.1,67781434,22036
bd728ee2674f730e,groundzone_cold_01.mat,Tiny.V9.1,66119408,65128
724c401edae946a1,goop_drops_r.mat,Tiny.VF.1,65315084,17030
cc7f0673d2949997,goop_drops_grd_r.mat,Tiny.V6.1,66362680,24286
ece138d7450e20c6,chimera_headswitch.mat,Tiny.VB.1,63757418,7636
1b247ae2b069fdec,chimera_furmask_switch.mat,Tiny.V9.1,65867806,10410
54fd66a691314b81,chimera_furswitch.mat,Tiny.V3.1,64221088,5984
