hash,file,bundle,offset,size
ea2308d07c2ed911,splashpreset02_r.mat,Tiny.V3.1,79705526,35954
2e686bbbe9c2446b,splashpreset02_u.mat,Tiny.VB.1,79378944,16472
9c0685b8b4c8659c,dustaway_r.mat,Tiny.VB.1,62421982,35846
c97b3e2b438ba26c,dustaway_u.mat,Tiny.VF.1,101216532,8042
6d1b896891a2b928,dustup_r.mat,Tiny.VA.1,100543092,40796
a484d56d1eebd6ea,dustup_u.mat,Tiny.VF.1,101224574,8466
ca44094c4697eb96,rockdebris_r.mat,Tiny.VA.1,59411402,9390
b884a84a8ab3b44d,rockdebris_u.mat,Tiny.V9.1,99751884,20868
f8173cfce41f7c4b,flashimpact_u.mat,Tiny.V0.1,67256394,2148
a84a178128dc610f,flashimpact01_r.mat,Tiny.V0.1,83142944,40194
bfb3ba2a58e8aa03,flashimpact02_r.mat,Tiny.V0.1,64179406,29436
58d57f3408c00da0,bv_lava_spray_01_r.mat,Tiny.V9.1,80322700,32498
621e948c48c4a200,bv_lava_spray_01_u.mat,Tiny.VE.1,80906002,14146
404bc372bd87725e,bluroomph_r.mat,Tiny.V3.1,72550146,10368
b3e51c8ead2fc089,bluroomph_u.mat,Tiny.V9.1,42047210,2140
88df4edb9933d083,impactsmokewave_r.mat,Tiny.V0.1,63314622,27844
618f24801429d78a,impactsmokewave_u.mat,Tiny.VD,50519481,346
fa7c608da20bc01c,impactembers_r.mat,Tiny.VF.1,80429114,31090
839221d97d6ec1ea,impactembers_u.mat,Tiny.VC.1,83354480,22490
9566ecd1c57b4ebb,impactaoeringshimmer_r.mat,Tiny.V4.1,64628736,26990
5379432005cdbec8,impactaoering_r.mat,Tiny.V0.1,63276176,38446
f82ebb242a87b3fa,impactaoering_u.mat,Tiny.V7.1,80324304,2208
95d9346f24eac5e6,cracksdecal_r.mat,Tiny.V5.1,79148748,79582
8f81972c26bd5b31,cracksdecal_u.mat,Tiny.VA.1,77359970,2438
