hash,file,bundle,offset,size
3eb4ada8a0f1e170,teleport_petals_01_r.mat,Tiny.VB.1,90637316,41906
8b3ebb2d1eabeacd,teleport_dissolve_skin_01_r.mat,Tiny.VA.1,89540192,62602
ecb6ee19375cabd8,teleport_embers_u.mat,Tiny.VE.1,90934764,27826
724eb04a35332e05,teleport_embers_02_u.mat,Tiny.V5.1,89263790,28828
12f4b116d6077295,teleport_burst_fire_r.mat,Tiny.V0.1,93589826,45662
9eb5d2b60e3f3311,teleport_burst_fire_u.mat,Tiny.V9.1,89401484,11126
6afc8cde2ff2e490,teleport_burst_fire_02_r.mat,Tiny.VB.1,90592074,45242
8a2cb108a91d65cc,teleport_burst_fire_02_u.mat,Tiny.V2.1,93136816,11122
d0bc267141971c04,teleport_blur_r.mat,Tiny.VA.1,89509406,30786
c99e3419bde221cd,teleport_blur_u.mat,Tiny.VD,50519481,346
7a525674b7a93210,teleport_blur_02_r.mat,Tiny.V5.1,89231738,32052
