hash,file,bundle,offset,size
354ed1df7f81bad4,shoulderpointstrdexrightheld.ao,Tiny.V7.1,125448065,368
e0d8c16b40f44222,shoulderpointstrdexrightheld.aoc,Tiny.VD.1,121545647,1270
107260cd4b2ed2d0,shoulderpointstrdexleftheld.ao,Tiny.V7.1,125448065,368
e375137d5013f3c2,shoulderpointstrdexleftheld.aoc,Tiny.VA.1,124602028,1268
ca125bec2f4e3a87,shoulderpointstrintrightheld.ao,Tiny.V7.1,125448065,368
68eabc8a89a6a309,shoulderpointstrintrightheld.aoc,Tiny.VF.1,125845606,1268
fa404e6a7db7f196,shoulderpointstrintleftheld.ao,Tiny.V7.1,125448065,368
2782242d420c4f48,shoulderpointstrintleftheld.aoc,Tiny.V1.1,123256558,1266
0073fdb465441546,shoulderpointdexintrightheld.ao,Tiny.V7.1,125448065,368
6f1a488e38097fd2,shoulderpointdexintrightheld.aoc,Tiny.VD.1,121545647,1270
1c999e74368f28c4,shoulderpointdexintleftheld.ao,Tiny.V7.1,125448065,368
8b61ec912a3372d4,shoulderpointdexintleftheld.aoc,Tiny.VA.1,124602028,1268
41162b2599063456,shoulderpointdex_rightheld.ao,Tiny.V7.1,125448065,368
e2808e897e7ba751,shoulderpointdex_rightheld.aoc,Tiny.VF.1,125845606,1268
e57ecc9b4a77646d,shoulderpointdex_leftheld.ao,Tiny.V7.1,125448065,368
b852fd8845191fdd,shoulderpointdex_leftheld.aoc,Tiny.V1.1,123256558,1266
0d6158d49aaabf11,shoulderpointheld.ao,Tiny.V7.1,125448065,368
f2d2a9e008957f91,shoulderpointheld.aoc,Tiny.VB.1,123920950,1266
