hash,file,bundle,offset,size
,g4_8a.vworld,,,1491761
,mapuberboss_ritual.vworld,,,6441798
,incursiontemplepresent.vworld,,,5897890
,mapport.vworld,,,3762971
,g2_1.vworld,,,834830
,incursiontemple.vworld,,,6306523
,karuishowcase.vworld,,,2044972
,hideoutverdant.vworld,,,7005058
,g4_11_2.vworld,,,642326
,bossrush_area3.vworld,,,2080586
,hideoutsacrifice.vworld,,,11415023
,abyss_boss2.vworld,,,2060667
,mappenitentiary.vworld,,,1345701
,null.vworld,,,5681697
,mapuberboss_fallenstar.vworld,,,879290
,g3_8.vworld,,,2246141
,g4_7.vworld,,,846543
,mapmezzanine.vworld,,,9497156
,mapgrimhaven.vworld,,,569533
,g1_13_2.vworld,,,781243
,p1_4.vworld,,,689552
,null.vworld.1,,,6133673
