hash,file,bundle,offset,size
,mapheadland.vworld,,,2796364
,c_g2_9_1.vworld,,,5592580
,expeditionsubarea_cavern.vworld,,,1398276
,hideoutbeaconofsalvation.vworld,,,5592580
,g1_10.vworld,,,9130193
,expeditionsubarea_kalguur.vworld,,,2796364
,g3_10.vworld,,,1177563
,c_g3_12.vworld,,,1516621
,maplosttowers.vworld,,,11185160
,mapravine.vworld,,,1600545
,maprustbowl.vworld,,,1901260
,sanctum_1.vworld,,,17198473
,mapinferno_noboss.vworld,,,5592580
,delirium_act3town.vworld,,,2796364
,mapuniquemegalith.vworld,,,5592728
,mapfortress.vworld,,,835252
,mapsteamingsprings.vworld,,,745899
,materialaudiotest.vworld,,,1398276
,hideoutbeaconofsalvation.vworld.1,,,6990888
,mapuniquemerchant01_sandswept.vworld,,,4577820
,mapdeforestation.vworld,,,824010
,c_g3_16_.vworld,,,3564258
,g3_2_1.vworld,,,8393122
,mapravine.vworld.1,,,762283
,c_g1_1.vworld,,,5742122
,hideouttwisted.vworld,,,7373482
,maplosttowers_noboss.vworld,,,5592580
,mapoasis.vworld,,,1278812
,g1_11.vworld,,,5679857
,c_g1_5.vworld,,,1553463
,expeditionlogbook_tundra.vworld,,,11073287
,mapgloom.vworld,,,5592580
,g2_10_1.vworld,,,5711349
,g4_town.vworld,,,1048936
,p2_1.vworld,,,1054921
,mapazmerianranges.vworld,,,973372
,g4_4_2.vworld,,,5592580
,mapvaalvault.vworld,,,1213623
,g4_7.vworld,,,661522
,g4_5_2.vworld,,,6407447
,expeditionsubarea_siren.vworld,,,6173926
,g2_2.vworld,,,4495839
,mapdrypassage.vworld,,,6459184
,null.vworld.1,,,11600647
,mapgrimhaven.vworld,,,2465019
,p2_6.vworld,,,2241719
,karuiwakahouruashowcase.vworld,,,5592580
,mapstronghold.vworld,,,724387
