hash,file,bundle,offset,size
ea8ea5387f34bf61,aodfeathersl.sm,Tiny.VA,7786834,626
257787200ca537ea,aodfeatherslstrint.sm,Tiny.V9,7961302,626
be9e0219764141f0,aodfeatherslstr.sm,Tiny.V6,7727068,626
f063fe3314350c54,rig_abdae908.smd,Streaming/Content/metadata/items/weapons/onehandweapons/1A73E6197169A6E7.5103239CFEE9CE74.wandofthethaumaturgeheld.ao,762045,23941
d64f76aa7934503a,rig_abdae908.smd.header,Tiny.V4,7837318,965
0328ce4cbdb10421,rig_5d34cd37.smd,Streaming/Content/metadata/items/armours/bodyarmours/0CB2F409DB3613DA.arbiterofdivinitybodystrdex.ao,1108263,23947
61de1b7b9598f110,rig_5d34cd37.smd.header,Tiny.V0,7835812,968
8d53f22be6e9c992,rig_9a1662a3.smd,Streaming/Content/metadata/items/armours/bodyarmours/0CB2F409DB3613DA.arbiterofdivinitybodyint.ao,379979,23935
65e01bb5127f61dc,rig_9a1662a3.smd.header,Tiny.V4,7836356,962
ae5df88eddbdc0d3,rig.amd,Tiny.VF,7695068,134
cb8c184c76d4c2a2,rig.ast,Tiny.VC,7633310,1316
