hash,file,bundle,offset,size
9781586374a10a55,merchantint_c1b6d444.smd,Streaming/Content/metadata/items/armours/bodyarmours/02748252790AA313.thaumaturgyprojectbodyint.ao,225375,95567
ed2427b09ff3b462,merchantint_c1b6d444.smd.header,Tiny.VA,8293006,834
c5610ada1a84bbdd,merchantint_3f5f6d72.smd,Streaming/Content/metadata/items/armours/helmets/DD3FA0B6015E1BC0.D03415CEF5AAC501.gallanthelmdexint.ao,471084,37019
463984fcffeafc28,merchantint_3f5f6d72.smd.header,Tiny.VA,8292558,448
4a00d7741253b045,merchantint_3aa5cb26.smd,Streaming/Content/metadata/items/armours/gloves/5E10B5A35CDA8B49.havenwoodglovesdexint.ao,501712,68641
53b16e590ce42eae,merchantint_3aa5cb26.smd.header,Tiny.V6,8255376,448
1b2a978c5ecc69f5,merchantint_271c7218.smd,Streaming/Content/metadata/items/armours/boots/B3C6DC0E8A519358.coreprisonerbootsdex.ao,357564,38279
a64744a71f9364f7,merchantint_271c7218.smd.header,Tiny.VC,8125086,448
388b48c885b1f22a,merchantglovesint.sm,Tiny.V2,8459726,544
a5499d4131286f0e,merchantglovesdexint.sm,Tiny.VC,8124538,548
2335570fcfa4204a,merchantglovesdex.sm,Tiny.VB,8158538,544
756a2f67067e0a11,merchantglovesstr.sm,Tiny.V7,8161670,542
1d956630057698e2,merchantglovesstrdex.sm,Tiny.VA,8291458,550
8a3e0a32912adf3f,merchantglovesstrint.sm,Tiny.VA,8292008,550
53739a482c3c0d1b,merchantdex_3b13dc8e.smd,Streaming/Content/metadata/items/armours/bodyarmours/66E2F1EF98872B45.merchantbodydex.ao,23764,92059
7d226d930c03b3d9,merchantdex_3b13dc8e.smd.header,Tiny.V8,8122564,864
916d773cd14d5b58,merchantdex_0e9ff959.smd,Streaming/Content/metadata/items/armours/gloves/66E2F1EF98872B45.merchantglovesdex.ao,0,34545
cb3f47b3712cbf83,merchantdex_0e9ff959.smd.header,Tiny.V7,8160388,448
51c646e3d4af3747,merchantdex_1bd392f5.smd,Streaming/Content/metadata/items/armours/boots/B3C6DC0E8A519358.coreprisonerbootsdex.ao,503882,38343
3fce8600877e14cb,merchantdex_1bd392f5.smd.header,Tiny.V4,8373558,448
bb447cd19378b8d2,merchantdex_28e46edb.smd,Streaming/Content/metadata/items/armours/helmets/DD3FA0B6015E1BC0.C1739759346BF681.myrisuxordex.ao,470200,37019
67025674fd7f2fbf,merchantdex_28e46edb.smd.header,Tiny.V0,8364658,448
