hash,file,bundle,offset,size
bf307eb15f1db43b,elementalistrobestr.sm,Tiny.V5,8455938,650
09637c6bc5cd9780,elementalistrobestrdex.sm,Tiny.V4,8834226,646
9d819c504794aadb,elementalistrobestrdex_c5ccf8e6.smd,Streaming/Content/metadata/items/armours/bodyarmours/43DB8A22A5A7462B.midnightpactscavengerbodydex.ao,748164,80011
c7523aae2b9c969c,elementalistrobestrdex_c5ccf8e6.smd.header,Tiny.V7,8634328,616
ff1edf8caa77bd67,elementalistrobestrint.sm,Tiny.VE,8680429,646
fe810d6455721c55,elementalistrobestrint_c5ccf8e6.smd,Streaming/Content/metadata/items/armours/bodyarmours/0E55415242D97321.imperatorbodystr.ao,595785,80011
2f4e5b58f22f5744,elementalistrobestrint_c5ccf8e6.smd.header,Tiny.V7,8634328,616
ef2b6b350d5d21c0,elementalistrobestr_6eebcfac.smd,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.900547576414E2C8.wayfarerjacket_int.ao,676698,80011
b10e681663169e67,elementalistrobestr_6eebcfac.smd.header,Tiny.V9,8942451,616
4d0e130d285ba16c,elementalistrobeint.sm,Tiny.VD,8541256,650
efadab8d135c3f89,elementalistrobeint_198628fa.smd,Streaming/Content/metadata/items/armours/bodyarmours/DD3FA0B6015E1BC0.EC440D59F497EEAC.championcuirassint.ao,544765,80357
3b070be960a8d069,elementalistrobeint_198628fa.smd.header,Tiny.V5,8454905,1033
d71103f99f5631cc,elementalistrobedrop_06837182.smd,Streaming/Content/metadata/items/armours/bodyarmours/9EAB9A6ADD790926.tencentlunargoddessbodystr.ao,212737,168765
9da9669e04080841,elementalistrobedrop_06837182.smd.header,Tiny.V1,8608613,626
5b631a9eb9cd6250,elementalistrobedrop.sm,Tiny.V5,8454269,636
22b72064fee65397,elementalistrobedrop.amd,Tiny.VD,8541058,198
e1f65f3671883db3,elementalistrobedrop.ast,Content/metadata/items/armours/bodyarmours/armoursfour/19527CF47DDE0390.ancestralmaildrop.ao,54037,18356
085e6a8842605c5c,elementalistrobedex.sm,Tiny.VF,8680382,650
573ead2bcf5e601a,elementalistrobedex_1a834163.smd,Streaming/Content/metadata/items/armours/bodyarmours/7F47B71BC05E3054.soulkeeperbodystr.ao,292606,79789
fb96fd73a041aa77,elementalistrobedex_1a834163.smd.header,Tiny.V2,8902644,633
dd284d7e451e5254,elementalistrobedexint.sm,Tiny.V2,8903277,646
b58941b6a28d0a88,elementalistrobedexint_c5ccf8e6.smd,Streaming/Content/metadata/items/armours/bodyarmours/13B8C9AAD5CD7886.coretormentorbodystrdex.ao,376441,80011
8d905e94c7ebb258,elementalistrobedexint_c5ccf8e6.smd.header,Tiny.V7,8634328,616
